date,rat,cage,time,duration,drug,dose,adlib,period
03/03/15,6,6,1852,8,GLP-1,30,A,D
03/03/15,1,14,1858,8,GLP-1,30,A,D
05/03/15,3,3,1845,8,GLP-1,30,A,D
05/03/15,12,15,1852,8,GLP-1,30,A,D
10/03/15,9,9,1849,8,GLP-1,30,A,D
10/03/15,11,11,1851,8,GLP-1,30,A,D
12/03/15,2,13,1854,8,GLP-1,30,A,D
12/03/15,5,5,1848,8,GLP-1,30,A,D
12/03/15,7,7,1850,8,GLP-1,30,A,D
26/02/15,4,4,1849,8,GLP-1,30,A,D
26/02/15,8,8,1851,8,GLP-1,30,A,D
26/02/15,10,10,1853,8,GLP-1,30,A,D
03/03/15,4,4,1851,8,GLP-1,100,A,D
03/03/15,8,8,1854,8,GLP-1,100,A,D
03/03/15,10,10,1856,8,GLP-1,100,A,D
05/03/15,6,6,1847,8,GLP-1,100,A,D
05/03/15,1,14,1853,8,GLP-1,100,A,D
10/03/15,3,3,1845,8,GLP-1,100,A,D
10/03/15,12,15,1902,8,GLP-1,100,A,D
12/03/15,9,9,1851,8,GLP-1,100,A,D
12/03/15,11,11,1852,8,GLP-1,100,A,D
26/02/15,5,5,1849,8,GLP-1,100,A,D
26/02/15,7,7,1851,8,GLP-1,100,A,D
26/02/15,2,13,1855,8,GLP-1,100,A,D
03/03/15,5,5,1852,8,GLP-1,300,A,D
03/03/15,7,7,1853,8,GLP-1,300,A,D
03/03/15,2,13,1857,8,GLP-1,300,A,D
05/03/15,4,4,1846,8,GLP-1,300,A,D
05/03/15,8,8,1849,8,GLP-1,300,A,D
05/03/15,10,10,1850,8,GLP-1,300,A,D
10/03/15,6,6,1847,8,GLP-1,300,A,D
10/03/15,1,14,1901,8,GLP-1,300,A,D
12/03/15,3,3,1847,8,GLP-1,300,A,D
12/03/15,12,15,1853,8,GLP-1,300,A,D
26/02/15,9,9,1852,8,GLP-1,300,A,D
26/02/15,11,11,1854,8,GLP-1,300,A,D
