OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:08/10/2014 09:03:16
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\6-10-14\2014-10-06.BDTA

GROUP/CAGE:0112
SUBJECT ID:62613
SUBJECT MASS:452 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 9 ,011201,06/10/2014,18:53:22 ,18:56:18 , 176 ,1.34,1.34,
 2 , 9 ,011201,06/10/2014,18:56:36 ,18:57:21 , 45 ,0.39,1.73,
 3 , 9 ,011201,06/10/2014,18:59:50 ,19:01:02 , 72 ,0.56,2.29,
 4 , 11 ,011201,06/10/2014,19:10:50 ,19:14:42 , 232 ,1.56,3.85,
 5 , 21 ,011201,06/10/2014,20:48:30 ,20:50:01 , 91 ,0.50,4.35,
 6 , 21 ,011201,06/10/2014,20:50:19 ,20:50:34 , 15 ,0.02,4.37,
 7 , 21 ,011201,06/10/2014,20:51:28 ,20:51:30 , 2 ,0.02,4.39,
 8 , 23 ,011201,06/10/2014,21:06:00 ,21:11:55 , 355 ,2.18,6.57,
 9 , 23 ,011201,06/10/2014,21:12:12 ,21:13:26 , 74 ,0.38,6.95,
 10 , 23 ,011201,06/10/2014,21:13:41 ,21:14:46 , 65 ,0.26,7.21,
 11 , 27 ,011201,06/10/2014,21:40:32 ,21:43:34 , 182 ,0.80,8.01,
 12 , 27 ,011201,06/10/2014,21:44:02 ,21:45:12 , 70 ,0.45,8.46,
 13 , 30 ,011201,06/10/2014,22:11:14 ,22:16:06 , 292 ,1.96,10.42,
 14 , 38 ,011201,06/10/2014,23:26:19 ,23:29:17 , 178 ,1.13,11.55,
 15 , 38 ,011201,06/10/2014,23:29:29 ,23:31:13 , 104 ,0.54,12.09,
 16 , 38 ,011201,06/10/2014,23:31:24 ,23:31:39 , 15 ,0.07,12.16,
 17 , 43 ,011201,07/10/2014,00:12:44 ,00:18:41 , 357 ,1.89,14.05,
 18 , 49 ,011201,07/10/2014,01:12:20 ,01:13:00 , 40 ,0.05,14.10,
 19 , 49 ,011201,07/10/2014,01:13:24 ,01:15:23 , 119 ,0.74,14.84,
 20 , 49 ,011201,07/10/2014,01:15:47 ,01:18:08 , 141 ,0.74,15.58,
 21 , 53 ,011201,07/10/2014,01:48:53 ,01:51:21 , 148 ,0.76,16.34,
 22 , 53 ,011201,07/10/2014,01:52:06 ,01:52:25 , 19 ,0.09,16.43,
 23 , 70 ,011201,07/10/2014,04:38:15 ,04:38:30 , 15 ,0.03,16.46,
 24 , 71 ,011201,07/10/2014,04:41:12 ,04:49:17 , 485 ,2.05,18.51,
 25 , 72 ,011201,07/10/2014,04:55:09 ,04:58:10 , 181 ,0.55,19.06,
 26 , 72 ,011201,07/10/2014,04:58:36 ,05:00:10 , 94 ,0.35,19.41,
 27 , 78 ,011201,07/10/2014,05:44:31 ,05:52:19 , 468 ,2.83,22.24,
 28 , 80 ,011201,07/10/2014,06:09:21 ,06:09:22 , 1 ,-0.02,22.22,
 29 , 118 ,011201,07/10/2014,12:07:11 ,12:09:31 , 140 ,0.67,22.89,
 30 , 118 ,011201,07/10/2014,12:11:33 ,12:12:10 , 37 ,0.15,23.04,
 31 , 132 ,011201,07/10/2014,14:21:52 ,14:24:55 , 183 ,0.74,23.78,
 32 , 133 ,011201,07/10/2014,14:28:57 ,14:30:37 , 100 ,0.34,24.12,
 33 , 148 ,011201,07/10/2014,16:53:33 ,16:53:57 , 24 ,0.09,24.21,
 34 , 148 ,011201,07/10/2014,16:55:37 ,16:58:11 , 154 ,0.77,24.98,
 35 , 148 ,011201,07/10/2014,16:58:22 ,16:59:56 , 94 ,0.49,25.47,
 36 , 148 ,011201,07/10/2014,17:00:13 ,17:01:58 , 105 ,0.54,26.01,
 37 , 161 ,011201,07/10/2014,18:54:32 ,19:01:28 , 416 ,1.97,27.98,
 38 , 161 ,011201,07/10/2014,19:01:43 ,19:02:38 , 55 ,0.20,28.18,
 39 , 162 ,011201,07/10/2014,19:08:19 ,19:13:23 , 304 ,1.55,29.73,
 40 , 163 ,011201,07/10/2014,19:13:37 ,19:16:51 , 194 ,0.99,30.72,
 41 , 168 ,011201,07/10/2014,20:03:58 ,20:10:11 , 373 ,1.62,32.34,
 42 , 169 ,011201,07/10/2014,20:10:34 ,20:15:14 , 280 ,1.07,33.41,
 43 , 174 ,011201,07/10/2014,21:01:48 ,21:02:44 , 56 ,0.13,33.54,
 44 , 176 ,011201,07/10/2014,21:24:15 ,21:26:33 , 138 ,0.47,34.01,
 45 , 177 ,011201,07/10/2014,21:26:56 ,21:32:06 , 310 ,1.26,35.27,
 46 , 177 ,011201,07/10/2014,21:32:18 ,21:33:52 , 94 ,0.30,35.57,
 47 , 180 ,011201,07/10/2014,22:00:39 ,22:05:21 , 282 ,1.05,36.62,
 48 , 181 ,011201,07/10/2014,22:06:23 ,22:07:15 , 52 ,0.20,36.82,
 49 , 185 ,011201,07/10/2014,22:52:24 ,22:52:34 , 10 ,0.03,36.85,
 50 , 186 ,011201,07/10/2014,22:52:51 ,22:57:35 , 284 ,1.20,38.05,
 51 , 187 ,011201,07/10/2014,22:57:46 ,23:04:19 , 393 ,1.75,39.80,
 52 , 193 ,011201,08/10/2014,00:03:47 ,00:06:21 , 154 ,0.39,40.19,
 53 , 193 ,011201,08/10/2014,00:07:00 ,00:07:56 , 56 ,0.10,40.29,
 54 , 202 ,011201,08/10/2014,01:22:24 ,01:31:43 , 559 ,1.57,41.86,
 55 , 206 ,011201,08/10/2014,02:09:17 ,02:12:01 , 164 ,0.26,42.12,
 56 , 207 ,011201,08/10/2014,02:12:56 ,02:22:30 , 574 ,2.91,45.03,
 57 , 216 ,011201,08/10/2014,03:41:35 ,03:44:16 , 161 ,1.03,46.06,
 58 , 224 ,011201,08/10/2014,05:03:39 ,05:03:54 , 15 ,0.02,46.08,
 59 , 226 ,011201,08/10/2014,05:16:12 ,05:16:31 , 19 ,0.08,46.16,
 60 , 227 ,011201,08/10/2014,05:23:31 ,05:31:12 , 461 ,2.44,48.60,
 61 , 231 ,011201,08/10/2014,06:01:56 ,06:02:14 , 18 ,0.08,48.68,
 62 , 231 ,011201,08/10/2014,06:02:30 ,06:04:12 , 102 ,0.56,49.24,
