OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:24/10/2014 11:11:43
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\20-10-14\2014-10-17.BDTA

GROUP/CAGE:0112
SUBJECT ID:RAT4
SUBJECT MASS:473 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 86 ,011201,21/10/2014,09:05:41 ,09:05:59 , 18 ,0.08,0.08,
 2 , 86 ,011201,21/10/2014,09:06:10 ,09:07:07 , 57 ,0.43,0.51,
 3 , 86 ,011201,21/10/2014,09:07:42 ,09:12:03 , 261 ,2.02,2.53,
 4 , 87 ,011201,21/10/2014,09:12:30 ,09:13:28 , 58 ,0.43,2.96,
 5 , 87 ,011201,21/10/2014,09:13:48 ,09:14:48 , 60 ,0.41,3.37,
 6 , 87 ,011201,21/10/2014,09:17:37 ,09:18:03 , 26 ,0.14,3.51,
 7 , 87 ,011201,21/10/2014,09:20:18 ,09:23:16 , 178 ,0.81,4.32,
 8 , 89 ,011201,21/10/2014,09:46:13 ,09:49:43 , 210 ,1.03,5.35,
 9 , 89 ,011201,21/10/2014,09:52:34 ,09:55:44 , 190 ,0.74,6.09,
 10 , 99 ,011201,21/10/2014,12:03:00 ,12:06:47 , 227 ,0.91,7.00,
 11 , 102 ,011201,21/10/2014,12:56:29 ,12:57:17 , 48 ,0.30,7.30,
 12 , 102 ,011201,21/10/2014,12:57:43 ,13:00:29 , 166 ,1.03,8.33,
 13 , 102 ,011201,21/10/2014,13:00:52 ,13:01:13 , 21 ,0.12,8.45,
 14 , 103 ,011201,21/10/2014,13:01:26 ,13:02:08 , 42 ,0.27,8.72,
 15 , 103 ,011201,21/10/2014,13:02:21 ,13:02:42 , 21 ,0.16,8.88,
 16 , 111 ,011201,21/10/2014,14:59:34 ,14:59:43 , 9 ,0.04,8.92,
 17 , 111 ,011201,21/10/2014,14:59:54 ,15:00:09 , 15 ,0.08,9.00,
 18 , 112 ,011201,21/10/2014,15:01:25 ,15:14:43 , 798 ,3.83,12.83,
 19 , 125 ,011201,21/10/2014,18:18:45 ,18:29:13 , 628 ,2.90,15.73,
 20 , 126 ,011201,21/10/2014,18:30:54 ,18:37:34 , 400 ,1.34,17.07,
 21 , 127 ,011201,21/10/2014,18:43:55 ,18:51:02 , 427 ,1.19,18.26,
 22 , 127 ,011201,21/10/2014,18:51:40 ,18:51:48 , 8 ,0.02,18.28,
 23 , 136 ,011201,21/10/2014,20:56:09 ,20:57:10 , 61 ,0.02,18.30,
 24 , 137 ,011201,21/10/2014,20:59:16 ,21:07:26 , 490 ,1.51,19.81,
 25 , 137 ,011201,21/10/2014,21:10:11 ,21:17:42 , 451 ,1.21,21.02,
 26 , 140 ,011201,21/10/2014,21:43:13 ,21:51:52 , 519 ,1.50,22.52,
 27 , 140 ,011201,21/10/2014,21:52:16 ,21:54:09 , 113 ,0.22,22.74,
 28 , 140 ,011201,21/10/2014,21:55:39 ,21:58:32 , 173 ,0.36,23.10,
 29 , 140 ,011201,21/10/2014,21:58:48 ,22:02:32 , 224 ,0.49,23.59,
 30 , 141 ,011201,21/10/2014,22:02:56 ,22:03:35 , 39 ,0.06,23.65,
 31 , 146 ,011201,21/10/2014,23:12:48 ,23:14:52 , 124 ,0.19,23.84,
 32 , 146 ,011201,21/10/2014,23:15:08 ,23:19:36 , 268 ,0.65,24.49,
 33 , 146 ,011201,21/10/2014,23:21:50 ,23:26:30 , 280 ,0.51,25.00,
 34 , 147 ,011201,21/10/2014,23:31:36 ,23:31:38 , 2 ,-0.03,24.97,
 35 , 147 ,011201,21/10/2014,23:32:58 ,23:33:44 , 46 ,0.05,25.02,
 36 , 147 ,011201,21/10/2014,23:33:56 ,23:36:04 , 128 ,0.14,25.16,
 37 , 148 ,011201,21/10/2014,23:47:55 ,23:50:10 , 135 ,0.19,25.35,
 38 , 148 ,011201,21/10/2014,23:52:47 ,23:54:06 , 79 ,0.13,25.48,
 39 , 149 ,011201,21/10/2014,23:56:14 ,00:03:24 , 430 ,1.01,26.49,
 40 , 149 ,011201,22/10/2014,00:03:59 ,00:09:01 , 302 ,0.59,27.08,
 41 , 149 ,011201,22/10/2014,00:09:17 ,00:10:57 , 100 ,0.19,27.27,
 42 , 154 ,011201,22/10/2014,01:13:53 ,01:15:00 , 67 ,0.03,27.30,
 43 , 154 ,011201,22/10/2014,01:15:13 ,01:22:00 , 407 ,0.90,28.20,
 44 , 155 ,011201,22/10/2014,01:22:20 ,01:26:39 , 259 ,0.60,28.80,
 45 , 156 ,011201,22/10/2014,01:28:28 ,01:41:32 , 784 ,1.78,30.58,
 46 , 174 ,011201,22/10/2014,06:03:40 ,06:03:43 , 3 ,0.02,30.60,
 47 , 175 ,011201,22/10/2014,06:11:54 ,06:12:49 , 55 ,0.06,30.66,
 48 , 175 ,011201,22/10/2014,06:13:15 ,06:17:23 , 248 ,0.42,31.08,
 49 , 176 ,011201,22/10/2014,06:26:27 ,06:29:54 , 207 ,0.27,31.35,
 50 , 176 ,011201,22/10/2014,06:31:04 ,06:32:03 , 59 ,0.11,31.46,
 51 , 177 ,011201,22/10/2014,06:32:27 ,06:36:28 , 241 ,0.18,31.64,
 52 , 177 ,011201,22/10/2014,06:36:40 ,06:37:06 , 26 ,-0.03,31.61,
 53 , 177 ,011201,22/10/2014,06:40:48 ,06:41:06 , 18 ,0.03,31.64,
 54 , 177 ,011201,22/10/2014,06:42:01 ,06:42:57 , 56 ,0.12,31.76,
 55 , 177 ,011201,22/10/2014,06:43:19 ,06:43:51 , 32 ,-0.07,31.69,
 56 , 177 ,011201,22/10/2014,06:48:44 ,06:49:02 , 18 ,-0.02,31.67,
 57 , 178 ,011201,22/10/2014,06:53:31 ,06:53:43 , 12 ,0.05,31.72,
 58 , 190 ,011201,22/10/2014,09:54:29 ,09:54:41 , 12 ,0.04,31.76,
 59 , 191 ,011201,22/10/2014,10:03:54 ,10:04:50 , 56 ,0.06,31.82,
 60 , 191 ,011201,22/10/2014,10:05:01 ,10:09:33 , 272 ,0.33,32.15,
 61 , 192 ,011201,22/10/2014,10:09:50 ,10:11:30 , 100 ,0.10,32.25,
 62 , 192 ,011201,22/10/2014,10:11:47 ,10:11:56 , 9 ,0.03,32.28,
 63 , 192 ,011201,22/10/2014,10:12:15 ,10:13:21 , 66 ,0.09,32.37,
 64 , 192 ,011201,22/10/2014,10:15:09 ,10:17:27 , 138 ,0.06,32.43,
 65 , 200 ,011201,22/10/2014,12:05:41 ,12:06:47 , 66 ,0.05,32.48,
 66 , 200 ,011201,22/10/2014,12:07:05 ,12:09:40 , 155 ,0.12,32.60,
 67 , 201 ,011201,22/10/2014,12:15:29 ,12:19:57 , 268 ,0.31,32.91,
 68 , 201 ,011201,22/10/2014,12:21:26 ,12:24:42 , 196 ,0.13,33.04,
 69 , 201 ,011201,22/10/2014,12:26:55 ,12:27:52 , 57 ,0.03,33.07,
 70 , 288 ,011201,23/10/2014,09:01:47 ,09:03:54 , 127 ,1.26,34.33,
 71 , 288 ,011201,23/10/2014,09:04:43 ,09:08:12 , 209 ,1.55,35.88,
 72 , 289 ,011201,23/10/2014,09:08:26 ,09:13:17 , 291 ,1.53,37.41,
 73 , 292 ,011201,23/10/2014,10:01:31 ,10:03:57 , 146 ,0.60,38.01,
 74 , 297 ,011201,23/10/2014,11:13:24 ,11:14:18 , 54 ,0.21,38.22,
 75 , 297 ,011201,23/10/2014,11:15:54 ,11:19:53 , 239 ,1.05,39.27,
 76 , 298 ,011201,23/10/2014,11:20:07 ,11:25:08 , 301 ,1.17,40.44,
 77 , 298 ,011201,23/10/2014,11:30:36 ,11:33:55 , 199 ,1.07,41.51,
 78 , 299 ,011201,23/10/2014,11:34:11 ,11:38:23 , 252 ,1.13,42.64,
 79 , 307 ,011201,23/10/2014,13:23:55 ,13:30:12 , 377 ,1.56,44.20,
 80 , 318 ,011201,23/10/2014,16:14:01 ,16:14:08 , 7 ,0.02,44.22,
 81 , 318 ,011201,23/10/2014,16:14:21 ,16:16:31 , 130 ,0.48,44.70,
 82 , 319 ,011201,23/10/2014,16:24:00 ,16:26:05 , 125 ,0.44,45.14,
 83 , 320 ,011201,23/10/2014,16:26:16 ,16:41:35 , 919 ,3.93,49.07,
 84 , 335 ,011201,23/10/2014,20:08:38 ,20:21:41 , 783 ,3.27,52.34,
 85 , 336 ,011201,23/10/2014,20:27:23 ,20:28:12 , 49 ,0.15,52.49,
 86 , 336 ,011201,23/10/2014,20:28:41 ,20:31:29 , 168 ,0.57,53.06,
 87 , 336 ,011201,23/10/2014,20:31:44 ,20:33:53 , 129 ,0.45,53.51,
 88 , 339 ,011201,23/10/2014,21:11:07 ,21:12:17 , 70 ,0.17,53.68,
 89 , 339 ,011201,23/10/2014,21:12:35 ,21:17:26 , 291 ,0.91,54.59,
 90 , 341 ,011201,23/10/2014,21:33:39 ,21:45:24 , 705 ,2.46,57.05,
 91 , 343 ,011201,23/10/2014,22:02:38 ,22:03:24 , 46 ,0.16,57.21,
 92 , 343 ,011201,23/10/2014,22:03:37 ,22:08:28 , 291 ,1.07,58.28,
 93 , 345 ,011201,23/10/2014,22:38:17 ,22:42:15 , 238 ,0.71,58.99,
 94 , 346 ,011201,23/10/2014,22:44:43 ,22:48:54 , 251 ,0.68,59.67,
 95 , 347 ,011201,23/10/2014,23:10:48 ,23:10:55 , 7 ,-0.11,59.56,
 96 , 347 ,011201,23/10/2014,23:11:09 ,23:11:30 , 21 ,0.11,59.67,
 97 , 348 ,011201,23/10/2014,23:13:02 ,23:18:06 , 304 ,0.80,60.47,
 98 , 351 ,011201,24/10/2014,00:04:48 ,00:08:20 , 212 ,0.56,61.03,
 99 , 352 ,011201,24/10/2014,00:08:33 ,00:12:53 , 260 ,0.70,61.73,
 100 , 353 ,011201,24/10/2014,00:36:17 ,00:36:43 , 26 ,0.03,61.76,
 101 , 355 ,011201,24/10/2014,00:50:53 ,00:52:34 , 101 ,0.26,62.02,
 102 , 355 ,011201,24/10/2014,00:52:56 ,00:55:59 , 183 ,0.48,62.50,
 103 , 355 ,011201,24/10/2014,00:56:23 ,01:01:41 , 318 ,0.79,63.29,
 104 , 377 ,011201,24/10/2014,06:13:31 ,06:16:04 , 153 ,0.30,63.59,
 105 , 378 ,011201,24/10/2014,06:16:47 ,06:22:20 , 333 ,0.78,64.37,
 106 , 378 ,011201,24/10/2014,06:24:43 ,06:24:47 , 4 ,0.03,64.40,
 107 , 378 ,011201,24/10/2014,06:25:02 ,06:26:05 , 63 ,0.20,64.60,
 108 , 378 ,011201,24/10/2014,06:26:17 ,06:29:00 , 163 ,0.48,65.08,
 109 , 378 ,011201,24/10/2014,06:29:44 ,06:30:40 , 56 ,0.18,65.26,
 110 , 378 ,011201,24/10/2014,06:31:05 ,06:33:23 , 138 ,0.48,65.74,
