OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:31/10/2014 09:11:51
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\27-10-14\2014-10-27.BDTA

GROUP/CAGE:0105
SUBJECT ID:ANIMAL 5
SUBJECT MASS:489 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010501,27/10/2014,12:41:09 ,12:41:37 , 28 ,0.21,0.21,
 2 , 87 ,010501,28/10/2014,09:07:06 ,09:07:45 , 39 ,0.04,0.25,
 3 , 87 ,010501,28/10/2014,09:08:05 ,09:08:51 , 46 ,0.17,0.42,
 4 , 87 ,010501,28/10/2014,09:09:09 ,09:10:36 , 87 ,0.52,0.94,
 5 , 87 ,010501,28/10/2014,09:11:05 ,09:11:26 , 21 ,0.18,1.12,
 6 , 88 ,010501,28/10/2014,09:11:49 ,09:12:24 , 35 ,0.26,1.38,
 7 , 88 ,010501,28/10/2014,09:15:16 ,09:15:24 , 8 ,0.04,1.42,
 8 , 88 ,010501,28/10/2014,09:18:15 ,09:18:30 , 15 ,0.11,1.53,
 9 , 88 ,010501,28/10/2014,09:18:49 ,09:19:00 , 11 ,0.10,1.63,
 10 , 88 ,010501,28/10/2014,09:19:29 ,09:19:32 , 3 ,0.02,1.65,
 11 , 88 ,010501,28/10/2014,09:23:55 ,09:24:08 , 13 ,0.09,1.74,
 12 , 88 ,010501,28/10/2014,09:24:33 ,09:24:57 , 24 ,0.14,1.88,
 13 , 89 ,010501,28/10/2014,09:38:29 ,09:38:58 , 29 ,0.06,1.94,
 14 , 89 ,010501,28/10/2014,09:39:19 ,09:39:27 , 8 ,0.04,1.98,
 15 , 89 ,010501,28/10/2014,09:39:39 ,09:40:12 , 33 ,0.23,2.21,
 16 , 95 ,010501,28/10/2014,10:55:30 ,10:56:06 , 36 ,0.04,2.25,
 17 , 95 ,010501,28/10/2014,11:00:50 ,11:01:37 , 47 ,0.21,2.46,
 18 , 103 ,010501,28/10/2014,12:44:24 ,12:45:57 , 93 ,0.27,2.73,
 19 , 110 ,010501,28/10/2014,14:24:21 ,14:25:59 , 98 ,0.67,3.40,
 20 , 110 ,010501,28/10/2014,14:26:13 ,14:26:21 , 8 ,0.10,3.50,
 21 , 110 ,010501,28/10/2014,14:26:37 ,14:26:59 , 22 ,0.21,3.71,
 22 , 113 ,010501,28/10/2014,15:10:46 ,15:11:07 , 21 ,0.20,3.91,
 23 , 113 ,010501,28/10/2014,15:11:24 ,15:12:56 , 92 ,0.81,4.72,
 24 , 113 ,010501,28/10/2014,15:13:07 ,15:14:13 , 66 ,0.54,5.26,
 25 , 113 ,010501,28/10/2014,15:14:27 ,15:14:52 , 25 ,0.25,5.51,
 26 , 119 ,010501,28/10/2014,16:40:20 ,16:41:44 , 84 ,0.65,6.16,
 27 , 119 ,010501,28/10/2014,16:41:55 ,16:43:19 , 84 ,0.67,6.83,
 28 , 119 ,010501,28/10/2014,16:43:32 ,16:44:21 , 49 ,0.40,7.23,
 29 , 126 ,010501,28/10/2014,18:16:02 ,18:17:31 , 89 ,0.53,7.76,
 30 , 130 ,010501,28/10/2014,19:13:45 ,19:15:40 , 115 ,0.68,8.44,
 31 , 130 ,010501,28/10/2014,19:16:02 ,19:16:56 , 54 ,0.28,8.72,
 32 , 131 ,010501,28/10/2014,19:19:54 ,19:25:04 , 310 ,1.69,10.41,
 33 , 131 ,010501,28/10/2014,19:25:16 ,19:25:27 , 11 ,0.05,10.46,
 34 , 131 ,010501,28/10/2014,19:31:07 ,19:35:16 , 249 ,1.16,11.62,
 35 , 131 ,010501,28/10/2014,19:35:30 ,19:37:42 , 132 ,0.60,12.22,
 36 , 144 ,010501,28/10/2014,22:25:34 ,22:31:54 , 380 ,1.91,14.13,
 37 , 144 ,010501,28/10/2014,22:35:17 ,22:38:14 , 177 ,0.87,15.00,
 38 , 144 ,010501,28/10/2014,22:38:30 ,22:41:33 , 183 ,0.87,15.87,
 39 , 145 ,010501,28/10/2014,22:41:50 ,22:43:38 , 108 ,0.57,16.44,
 40 , 150 ,010501,29/10/2014,00:01:18 ,00:07:29 , 371 ,1.78,18.22,
 41 , 151 ,010501,29/10/2014,00:08:58 ,00:13:35 , 277 ,1.48,19.70,
 42 , 161 ,010501,29/10/2014,02:27:50 ,02:38:59 , 669 ,2.90,22.60,
 43 , 173 ,010501,29/10/2014,05:32:48 ,05:33:10 , 22 ,0.02,22.62,
 44 , 174 ,010501,29/10/2014,05:33:28 ,05:37:14 , 226 ,0.71,23.33,
 45 , 174 ,010501,29/10/2014,05:37:30 ,05:44:22 , 412 ,1.32,24.65,
 46 , 174 ,010501,29/10/2014,05:48:00 ,05:49:33 , 93 ,0.38,25.03,
 47 , 175 ,010501,29/10/2014,05:49:49 ,05:52:01 , 132 ,0.44,25.47,
 48 , 175 ,010501,29/10/2014,05:52:12 ,06:00:12 , 480 ,2.09,27.56,
 49 , 175 ,010501,29/10/2014,06:00:23 ,06:00:25 , 2 ,0.02,27.58,
 50 , 190 ,010501,29/10/2014,09:28:20 ,09:28:21 , 1 ,-0.03,27.55,
 51 , 190 ,010501,29/10/2014,09:37:44 ,09:38:32 , 48 ,0.41,27.96,
 52 , 191 ,010501,29/10/2014,09:38:43 ,09:38:53 , 10 ,0.08,28.04,
 53 , 197 ,010501,29/10/2014,11:09:05 ,11:09:24 , 19 ,0.11,28.15,
 54 , 197 ,010501,29/10/2014,11:09:38 ,11:10:41 , 63 ,0.57,28.72,
 55 , 197 ,010501,29/10/2014,11:11:01 ,11:11:39 , 38 ,0.33,29.05,
 56 , 197 ,010501,29/10/2014,11:11:50 ,11:14:59 , 189 ,1.36,30.41,
 57 , 197 ,010501,29/10/2014,11:16:17 ,11:17:58 , 101 ,0.68,31.09,
 58 , 204 ,010501,29/10/2014,12:54:36 ,12:57:54 , 198 ,1.24,32.33,
 59 , 205 ,010501,29/10/2014,12:58:43 ,13:00:19 , 96 ,0.67,33.00,
 60 , 216 ,010501,29/10/2014,15:44:01 ,15:44:27 , 26 ,0.19,33.19,
 61 , 216 ,010501,29/10/2014,15:44:39 ,15:45:08 , 29 ,0.18,33.37,
 62 , 217 ,010501,29/10/2014,15:46:40 ,15:51:08 , 268 ,1.85,35.22,
 63 , 217 ,010501,29/10/2014,15:51:38 ,15:51:57 , 19 ,0.13,35.35,
 64 , 217 ,010501,29/10/2014,15:52:15 ,15:53:33 , 78 ,0.44,35.79,
 65 , 289 ,010501,30/10/2014,09:05:24 ,09:05:49 , 25 ,0.04,35.83,
 66 , 289 ,010501,30/10/2014,09:06:15 ,09:07:09 , 54 ,0.29,36.12,
 67 , 289 ,010501,30/10/2014,09:08:04 ,09:08:47 , 43 ,0.40,36.52,
 68 , 290 ,010501,30/10/2014,09:09:09 ,09:13:26 , 257 ,1.75,38.27,
 69 , 290 ,010501,30/10/2014,09:13:49 ,09:14:03 , 14 ,0.15,38.42,
 70 , 290 ,010501,30/10/2014,09:15:43 ,09:18:43 , 180 ,1.05,39.47,
 71 , 290 ,010501,30/10/2014,09:21:38 ,09:22:34 , 56 ,0.31,39.78,
 72 , 291 ,010501,30/10/2014,09:23:04 ,09:24:47 , 103 ,0.48,40.26,
 73 , 291 ,010501,30/10/2014,09:36:21 ,09:37:28 , 67 ,0.30,40.56,
 74 , 292 ,010501,30/10/2014,09:38:15 ,09:40:33 , 138 ,0.70,41.26,
 75 , 292 ,010501,30/10/2014,09:40:47 ,09:43:32 , 165 ,1.02,42.28,
 76 , 292 ,010501,30/10/2014,09:43:45 ,09:44:12 , 27 ,0.17,42.45,
 77 , 292 ,010501,30/10/2014,09:44:31 ,09:45:09 , 38 ,0.21,42.66,
 78 , 308 ,010501,30/10/2014,13:27:44 ,13:27:55 , 11 ,0.05,42.71,
 79 , 308 ,010501,30/10/2014,13:28:13 ,13:30:15 , 122 ,0.62,43.33,
 80 , 308 ,010501,30/10/2014,13:37:25 ,13:39:28 , 123 ,0.64,43.97,
 81 , 309 ,010501,30/10/2014,13:42:37 ,13:49:02 , 385 ,1.91,45.88,
 82 , 309 ,010501,30/10/2014,13:50:47 ,13:53:05 , 138 ,0.65,46.53,
 83 , 309 ,010501,30/10/2014,13:53:16 ,13:54:43 , 87 ,0.37,46.90,
 84 , 310 ,010501,30/10/2014,13:55:01 ,13:56:59 , 118 ,0.43,47.33,
 85 , 310 ,010501,30/10/2014,14:03:53 ,14:05:16 , 83 ,0.22,47.55,
 86 , 326 ,010501,30/10/2014,17:48:47 ,17:49:57 , 70 ,0.20,47.75,
 87 , 326 ,010501,30/10/2014,17:54:11 ,17:55:58 , 107 ,0.42,48.17,
 88 , 327 ,010501,30/10/2014,17:56:15 ,17:58:27 , 132 ,0.59,48.76,
 89 , 327 ,010501,30/10/2014,18:02:02 ,18:05:11 , 189 ,0.82,49.58,
 90 , 327 ,010501,30/10/2014,18:05:28 ,18:08:38 , 190 ,0.85,50.43,
 91 , 328 ,010501,30/10/2014,18:08:58 ,18:12:05 , 187 ,0.75,51.18,
 92 , 334 ,010501,30/10/2014,19:39:39 ,19:43:50 , 251 ,0.69,51.87,
 93 , 334 ,010501,30/10/2014,19:44:33 ,19:48:27 , 234 ,0.67,52.54,
 94 , 334 ,010501,30/10/2014,19:48:46 ,19:50:26 , 100 ,0.32,52.86,
 95 , 335 ,010501,30/10/2014,19:54:45 ,19:56:20 , 95 ,0.28,53.14,
 96 , 335 ,010501,30/10/2014,19:56:41 ,20:05:05 , 504 ,1.55,54.69,
 97 , 346 ,010501,30/10/2014,22:32:20 ,22:34:26 , 126 ,0.36,55.05,
 98 , 346 ,010501,30/10/2014,22:34:48 ,22:35:55 , 67 ,0.19,55.24,
 99 , 346 ,010501,30/10/2014,22:36:09 ,22:37:04 , 55 ,0.15,55.39,
 100 , 346 ,010501,30/10/2014,22:37:18 ,22:39:42 , 144 ,0.45,55.84,
 101 , 347 ,010501,30/10/2014,22:41:27 ,22:44:40 , 193 ,0.49,56.33,
 102 , 347 ,010501,30/10/2014,22:45:00 ,22:49:03 , 243 ,0.76,57.09,
 103 , 353 ,010501,31/10/2014,00:12:26 ,00:12:50 , 24 ,0.04,57.13,
 104 , 353 ,010501,31/10/2014,00:13:01 ,00:17:29 , 268 ,0.76,57.89,
 105 , 354 ,010501,31/10/2014,00:21:35 ,00:22:21 , 46 ,0.13,58.02,
 106 , 354 ,010501,31/10/2014,00:23:49 ,00:24:03 , 14 ,0.08,58.10,
 107 , 354 ,010501,31/10/2014,00:24:16 ,00:26:11 , 115 ,0.37,58.47,
 108 , 354 ,010501,31/10/2014,00:26:23 ,00:27:11 , 48 ,0.18,58.65,
 109 , 357 ,010501,31/10/2014,01:10:28 ,01:11:06 , 38 ,0.10,58.75,
 110 , 357 ,010501,31/10/2014,01:11:23 ,01:13:46 , 143 ,0.48,59.23,
 111 , 357 ,010501,31/10/2014,01:14:05 ,01:15:49 , 104 ,0.35,59.58,
 112 , 357 ,010501,31/10/2014,01:16:00 ,01:17:53 , 113 ,0.51,60.09,
 113 , 358 ,010501,31/10/2014,01:18:26 ,01:24:57 , 391 ,1.67,61.76,
 114 , 359 ,010501,31/10/2014,01:26:20 ,01:34:37 , 497 ,2.07,63.83,
 115 , 360 ,010501,31/10/2014,01:54:36 ,01:56:24 , 108 ,0.22,64.05,
 116 , 360 ,010501,31/10/2014,01:57:19 ,01:58:26 , 67 ,0.30,64.35,
 117 , 360 ,010501,31/10/2014,01:58:40 ,02:00:53 , 133 ,0.46,64.81,
 118 , 361 ,010501,31/10/2014,02:01:14 ,02:08:51 , 457 ,2.14,66.95,
