OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:31/10/2014 09:13:00
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\27-10-14\2014-10-27.BDTA

GROUP/CAGE:0109
SUBJECT ID:ANIMAL9
SUBJECT MASS:472 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010901,27/10/2014,12:39:57 ,12:40:23 , 26 ,0.28,0.28,
 2 , 1 ,010901,27/10/2014,12:44:35 ,12:44:46 , 11 ,0.13,0.41,
 3 , 3 ,010901,27/10/2014,13:02:24 ,13:02:56 , 32 ,0.34,0.75,
 4 , 3 ,010901,27/10/2014,13:03:09 ,13:03:31 , 22 ,0.23,0.98,
 5 , 3 ,010901,27/10/2014,13:04:23 ,13:04:44 , 21 ,0.19,1.17,
 6 , 3 ,010901,27/10/2014,13:10:24 ,13:10:40 , 16 ,0.14,1.31,
 7 , 88 ,010901,28/10/2014,09:13:31 ,09:13:38 , 7 ,0.08,1.39,
 8 , 88 ,010901,28/10/2014,09:13:51 ,09:14:05 , 14 ,0.13,1.52,
 9 , 88 ,010901,28/10/2014,09:14:26 ,09:14:35 , 9 ,0.10,1.62,
 10 , 88 ,010901,28/10/2014,09:15:26 ,09:15:58 , 32 ,0.14,1.76,
 11 , 88 ,010901,28/10/2014,09:20:52 ,09:21:06 , 14 ,0.11,1.87,
 12 , 90 ,010901,28/10/2014,09:40:07 ,09:40:25 , 18 ,0.13,2.00,
 13 , 90 ,010901,28/10/2014,09:46:01 ,09:46:12 , 11 ,0.08,2.08,
 14 , 90 ,010901,28/10/2014,09:51:16 ,09:51:17 , 1 ,0.02,2.10,
 15 , 91 ,010901,28/10/2014,10:00:54 ,10:01:44 , 50 ,0.23,2.33,
 16 , 91 ,010901,28/10/2014,10:02:01 ,10:02:20 , 19 ,0.15,2.48,
 17 , 91 ,010901,28/10/2014,10:02:47 ,10:02:58 , 11 ,0.07,2.55,
 18 , 93 ,010901,28/10/2014,10:34:20 ,10:34:34 , 14 ,0.06,2.61,
 19 , 95 ,010901,28/10/2014,10:54:14 ,10:54:56 , 42 ,0.23,2.84,
 20 , 95 ,010901,28/10/2014,10:55:56 ,10:56:03 , 7 ,0.04,2.88,
 21 , 97 ,010901,28/10/2014,11:25:37 ,11:26:26 , 49 ,0.32,3.20,
 22 , 97 ,010901,28/10/2014,11:27:08 ,11:27:34 , 26 ,0.19,3.39,
 23 , 97 ,010901,28/10/2014,11:28:12 ,11:28:37 , 25 ,0.18,3.57,
 24 , 103 ,010901,28/10/2014,12:55:58 ,12:57:47 , 109 ,0.71,4.28,
 25 , 104 ,010901,28/10/2014,12:58:00 ,12:59:53 , 113 ,0.80,5.08,
 26 , 104 ,010901,28/10/2014,13:00:09 ,13:00:58 , 49 ,0.36,5.44,
 27 , 104 ,010901,28/10/2014,13:01:12 ,13:01:44 , 32 ,0.24,5.68,
 28 , 104 ,010901,28/10/2014,13:02:04 ,13:02:39 , 35 ,0.29,5.97,
 29 , 104 ,010901,28/10/2014,13:03:14 ,13:04:03 , 49 ,0.31,6.28,
 30 , 117 ,010901,28/10/2014,16:17:41 ,16:17:54 , 13 ,0.11,6.39,
 31 , 117 ,010901,28/10/2014,16:18:13 ,16:18:50 , 37 ,0.28,6.67,
 32 , 118 ,010901,28/10/2014,16:19:01 ,16:19:22 , 21 ,0.19,6.86,
 33 , 118 ,010901,28/10/2014,16:19:33 ,16:20:05 , 32 ,0.20,7.06,
 34 , 118 ,010901,28/10/2014,16:20:25 ,16:22:23 , 118 ,0.65,7.71,
 35 , 126 ,010901,28/10/2014,18:17:01 ,18:18:28 , 87 ,0.49,8.20,
 36 , 126 ,010901,28/10/2014,18:18:45 ,18:20:30 , 105 ,0.63,8.83,
 37 , 129 ,010901,28/10/2014,19:04:08 ,19:04:12 , 4 ,0.02,8.85,
 38 , 129 ,010901,28/10/2014,19:04:31 ,19:08:38 , 247 ,1.37,10.22,
 39 , 129 ,010901,28/10/2014,19:08:51 ,19:09:52 , 61 ,0.33,10.55,
 40 , 130 ,010901,28/10/2014,19:11:26 ,19:13:38 , 132 ,0.59,11.14,
 41 , 130 ,010901,28/10/2014,19:19:11 ,19:20:25 , 74 ,0.27,11.41,
 42 , 130 ,010901,28/10/2014,19:20:49 ,19:21:42 , 53 ,0.25,11.66,
 43 , 131 ,010901,28/10/2014,19:22:14 ,19:24:13 , 119 ,0.45,12.11,
 44 , 131 ,010901,28/10/2014,19:24:34 ,19:25:44 , 70 ,0.26,12.37,
 45 , 131 ,010901,28/10/2014,19:29:31 ,19:31:51 , 140 ,0.42,12.79,
 46 , 131 ,010901,28/10/2014,19:32:31 ,19:35:44 , 193 ,0.74,13.53,
 47 , 138 ,010901,28/10/2014,21:05:42 ,21:06:30 , 48 ,0.12,13.65,
 48 , 138 ,010901,28/10/2014,21:10:28 ,21:12:04 , 96 ,0.34,13.99,
 49 , 139 ,010901,28/10/2014,21:23:26 ,21:25:56 , 150 ,0.50,14.49,
 50 , 139 ,010901,28/10/2014,21:26:21 ,21:29:21 , 180 ,0.83,15.32,
 51 , 139 ,010901,28/10/2014,21:30:01 ,21:32:36 , 155 ,0.64,15.96,
 52 , 140 ,010901,28/10/2014,21:37:33 ,21:40:15 , 162 ,0.70,16.66,
 53 , 149 ,010901,28/10/2014,23:45:25 ,23:46:17 , 52 ,0.18,16.84,
 54 , 149 ,010901,28/10/2014,23:46:31 ,23:51:47 , 316 ,1.27,18.11,
 55 , 149 ,010901,28/10/2014,23:52:04 ,23:53:21 , 77 ,0.36,18.47,
 56 , 149 ,010901,28/10/2014,23:53:39 ,23:53:58 , 19 ,0.05,18.52,
 57 , 149 ,010901,28/10/2014,23:54:18 ,23:54:43 , 25 ,0.12,18.64,
 58 , 150 ,010901,28/10/2014,23:55:08 ,23:57:42 , 154 ,0.58,19.22,
 59 , 153 ,010901,29/10/2014,00:45:57 ,00:46:15 , 18 ,0.03,19.25,
 60 , 153 ,010901,29/10/2014,00:46:39 ,00:49:32 , 173 ,0.61,19.86,
 61 , 154 ,010901,29/10/2014,00:49:59 ,00:52:47 , 168 ,0.59,20.45,
 62 , 154 ,010901,29/10/2014,00:53:03 ,00:59:56 , 413 ,1.38,21.83,
 63 , 163 ,010901,29/10/2014,03:10:42 ,03:14:22 , 220 ,0.58,22.41,
 64 , 164 ,010901,29/10/2014,03:18:14 ,03:19:02 , 48 ,0.17,22.58,
 65 , 164 ,010901,29/10/2014,03:19:46 ,03:20:10 , 24 ,0.13,22.71,
 66 , 164 ,010901,29/10/2014,03:20:27 ,03:22:52 , 145 ,0.57,23.28,
 67 , 164 ,010901,29/10/2014,03:23:25 ,03:24:43 , 78 ,0.27,23.55,
 68 , 164 ,010901,29/10/2014,03:24:56 ,03:27:42 , 166 ,0.60,24.15,
 69 , 169 ,010901,29/10/2014,04:28:22 ,04:28:28 , 6 ,0.02,24.17,
 70 , 169 ,010901,29/10/2014,04:28:40 ,04:31:13 , 153 ,0.52,24.69,
 71 , 169 ,010901,29/10/2014,04:31:35 ,04:34:51 , 196 ,0.66,25.35,
 72 , 169 ,010901,29/10/2014,04:35:07 ,04:37:06 , 119 ,0.41,25.76,
 73 , 170 ,010901,29/10/2014,04:39:27 ,04:41:08 , 101 ,0.29,26.05,
 74 , 174 ,010901,29/10/2014,05:32:59 ,05:38:01 , 302 ,0.91,26.96,
 75 , 174 ,010901,29/10/2014,05:38:35 ,05:40:39 , 124 ,0.50,27.46,
 76 , 174 ,010901,29/10/2014,05:41:02 ,05:42:29 , 87 ,0.47,27.93,
 77 , 174 ,010901,29/10/2014,05:44:46 ,05:49:49 , 303 ,1.31,29.24,
 78 , 175 ,010901,29/10/2014,05:50:15 ,05:50:57 , 42 ,0.21,29.45,
 79 , 175 ,010901,29/10/2014,05:51:12 ,05:51:23 , 11 ,0.04,29.49,
 80 , 191 ,010901,29/10/2014,09:45:21 ,09:46:07 , 46 ,0.23,29.72,
 81 , 191 ,010901,29/10/2014,09:46:19 ,09:46:39 , 20 ,0.22,29.94,
 82 , 191 ,010901,29/10/2014,09:46:57 ,09:47:14 , 17 ,0.20,30.14,
 83 , 191 ,010901,29/10/2014,09:47:35 ,09:47:42 , 7 ,0.10,30.24,
 84 , 192 ,010901,29/10/2014,09:54:54 ,09:55:52 , 58 ,0.47,30.71,
 85 , 192 ,010901,29/10/2014,09:56:07 ,09:56:13 , 6 ,0.05,30.76,
 86 , 205 ,010901,29/10/2014,13:06:43 ,13:06:55 , 12 ,0.07,30.83,
 87 , 205 ,010901,29/10/2014,13:07:08 ,13:08:37 , 89 ,0.63,31.46,
 88 , 205 ,010901,29/10/2014,13:08:50 ,13:08:54 , 4 ,0.08,31.54,
 89 , 205 ,010901,29/10/2014,13:09:12 ,13:09:24 , 12 ,0.14,31.68,
 90 , 205 ,010901,29/10/2014,13:09:39 ,13:10:14 , 35 ,0.33,32.01,
 91 , 213 ,010901,29/10/2014,15:03:13 ,15:03:47 , 34 ,0.25,32.26,
 92 , 213 ,010901,29/10/2014,15:04:01 ,15:04:41 , 40 ,0.33,32.59,
 93 , 213 ,010901,29/10/2014,15:04:58 ,15:05:25 , 27 ,0.23,32.82,
 94 , 291 ,010901,30/10/2014,09:37:51 ,09:38:17 , 26 ,0.03,32.85,
 95 , 292 ,010901,30/10/2014,09:39:26 ,09:39:57 , 31 ,-0.02,32.83,
 96 , 297 ,010901,30/10/2014,10:50:33 ,10:50:40 , 7 ,0.03,32.86,
 97 , 300 ,010901,30/10/2014,11:35:34 ,11:35:44 , 10 ,0.03,32.89,
 98 , 304 ,010901,30/10/2014,12:29:43 ,12:29:46 , 3 ,0.04,32.93,
 99 , 304 ,010901,30/10/2014,12:35:49 ,12:35:54 , 5 ,0.06,32.99,
 100 , 304 ,010901,30/10/2014,12:36:11 ,12:36:14 , 3 ,0.03,33.02,
 101 , 304 ,010901,30/10/2014,12:36:28 ,12:36:33 , 5 ,0.08,33.10,
 102 , 320 ,010901,30/10/2014,16:29:32 ,16:29:40 , 8 ,0.05,33.15,
 103 , 322 ,010901,30/10/2014,16:47:13 ,16:47:15 , 2 ,0.04,33.19,
 104 , 322 ,010901,30/10/2014,16:47:32 ,16:47:38 , 6 ,0.06,33.25,
 105 , 350 ,010901,30/10/2014,23:24:57 ,23:25:24 , 27 ,0.26,33.51,
 106 , 350 ,010901,30/10/2014,23:26:03 ,23:26:11 , 8 ,0.02,33.53,
 107 , 350 ,010901,30/10/2014,23:32:00 ,23:34:28 , 148 ,1.32,34.85,
 108 , 350 ,010901,30/10/2014,23:35:09 ,23:35:31 , 22 ,0.25,35.10,
 109 , 356 ,010901,31/10/2014,01:01:23 ,01:01:53 , 30 ,0.31,35.41,
 110 , 359 ,010901,31/10/2014,01:33:59 ,01:34:06 , 7 ,0.06,35.47,
 111 , 361 ,010901,31/10/2014,02:13:10 ,02:13:13 , 3 ,0.02,35.49,
 112 , 368 ,010901,31/10/2014,03:45:16 ,03:45:17 , 1 ,-0.03,35.46,
 113 , 378 ,010901,31/10/2014,05:56:54 ,06:04:31 , 457 ,3.68,39.14,
