Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:17/02/2015 09:18:27
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\16-02-15\2015-02-16.BDTA

GROUP/CAGE:0101
SUBJECT ID:Subject 1
SUBJECT MASS:408.1 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010101,16/02/2015,14:38:28 ,14:39:31 , 63 ,0.46,0.46,
 2 , 2 ,010101,16/02/2015,14:40:05 ,14:40:12 , 7 ,0.07,0.53,
 3 , 2 ,010101,16/02/2015,14:40:44 ,14:41:27 , 43 ,0.34,0.87,
 4 , 2 ,010101,16/02/2015,14:43:37 ,14:43:39 , 2 ,0.02,0.89,
 5 , 2 ,010101,16/02/2015,14:43:52 ,14:44:01 , 9 ,0.06,0.95,
 6 , 15 ,010101,16/02/2015,17:53:06 ,17:53:10 , 4 ,0.05,1.00,
 7 , 15 ,010101,16/02/2015,17:53:23 ,17:54:04 , 41 ,0.30,1.30,
 8 , 15 ,010101,16/02/2015,17:55:21 ,17:55:55 , 34 ,0.26,1.56,
 9 , 15 ,010101,16/02/2015,17:56:12 ,17:56:44 , 32 ,0.25,1.81,
 10 , 15 ,010101,16/02/2015,17:57:14 ,17:58:46 , 92 ,0.63,2.44,
 11 , 16 ,010101,16/02/2015,17:59:10 ,18:00:03 , 53 ,0.41,2.85,
 12 , 20 ,010101,16/02/2015,19:06:44 ,19:06:52 , 8 ,0.08,2.93,
 13 , 20 ,010101,16/02/2015,19:07:05 ,19:07:44 , 39 ,0.26,3.19,
 14 , 21 ,010101,16/02/2015,19:09:14 ,19:10:12 , 58 ,0.35,3.54,
 15 , 21 ,010101,16/02/2015,19:12:46 ,19:12:59 , 13 ,0.03,3.57,
 16 , 21 ,010101,16/02/2015,19:13:53 ,19:14:29 , 36 ,0.19,3.76,
 17 , 22 ,010101,16/02/2015,19:31:34 ,19:34:46 , 192 ,1.03,4.79,
 18 , 24 ,010101,16/02/2015,19:53:43 ,19:57:00 , 197 ,1.10,5.89,
 19 , 24 ,010101,16/02/2015,19:58:40 ,19:58:42 , 2 ,0.02,5.91,
 20 , 24 ,010101,16/02/2015,19:58:58 ,19:59:06 , 8 ,0.02,5.93,
 21 , 29 ,010101,16/02/2015,21:01:28 ,21:06:13 , 285 ,1.48,7.41,
 22 , 29 ,010101,16/02/2015,21:06:30 ,21:07:15 , 45 ,0.22,7.63,
 23 , 33 ,010101,16/02/2015,22:05:15 ,22:11:05 , 350 ,1.86,9.49,
 24 , 35 ,010101,16/02/2015,22:31:09 ,22:35:04 , 235 ,1.39,10.88,
 25 , 38 ,010101,16/02/2015,23:10:47 ,23:16:40 , 353 ,2.20,13.08,
 26 , 38 ,010101,16/02/2015,23:18:42 ,23:18:57 , 15 ,0.09,13.17,
 27 , 40 ,010101,16/02/2015,23:40:08 ,23:42:53 , 165 ,1.12,14.29,
 28 , 40 ,010101,16/02/2015,23:43:08 ,23:43:17 , 9 ,0.04,14.33,
 29 , 41 ,010101,16/02/2015,23:54:21 ,23:55:10 , 49 ,0.29,14.62,
 30 , 41 ,010101,16/02/2015,23:55:25 ,23:56:06 , 41 ,0.27,14.89,
 31 , 41 ,010101,16/02/2015,23:57:31 ,23:57:34 , 3 ,0.02,14.91,
 32 , 43 ,010101,17/02/2015,00:29:30 ,00:31:12 , 102 ,0.69,15.60,
 33 , 43 ,010101,17/02/2015,00:31:27 ,00:33:31 , 124 ,0.79,16.39,
 34 , 43 ,010101,17/02/2015,00:34:40 ,00:35:44 , 64 ,0.33,16.72,
 35 , 46 ,010101,17/02/2015,01:16:08 ,01:18:44 , 156 ,0.93,17.65,
 36 , 46 ,010101,17/02/2015,01:19:27 ,01:19:59 , 32 ,0.19,17.84,
 37 , 56 ,010101,17/02/2015,03:32:54 ,03:33:12 , 18 ,0.08,17.92,
 38 , 60 ,010101,17/02/2015,04:32:09 ,04:35:16 , 187 ,1.23,19.15,
 39 , 60 ,010101,17/02/2015,04:35:52 ,04:36:13 , 21 ,0.07,19.22,
 40 , 62 ,010101,17/02/2015,05:02:35 ,05:05:48 , 193 ,1.31,20.53,
 41 , 63 ,010101,17/02/2015,05:06:03 ,05:10:45 , 282 ,1.84,22.37,
 42 , 63 ,010101,17/02/2015,05:11:24 ,05:11:26 , 2 ,-0.02,22.35,
 43 , 66 ,010101,17/02/2015,05:48:00 ,05:52:34 , 274 ,1.71,24.06,
