Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:17/02/2015 09:18:27
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\16-02-15\2015-02-16.BDTA

GROUP/CAGE:0103
SUBJECT ID:Subject 3
SUBJECT MASS:416 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010301,16/02/2015,14:28:50 ,14:29:14 , 24 ,0.22,0.22,
 2 , 3 ,010301,16/02/2015,15:05:27 ,15:05:32 , 5 ,0.08,0.30,
 3 , 14 ,010301,16/02/2015,17:33:19 ,17:33:41 , 22 ,0.18,0.48,
 4 , 14 ,010301,16/02/2015,17:38:17 ,17:38:43 , 26 ,0.18,0.66,
 5 , 14 ,010301,16/02/2015,17:42:21 ,17:42:26 , 5 ,0.06,0.72,
 6 , 14 ,010301,16/02/2015,17:43:11 ,17:43:30 , 19 ,0.20,0.92,
 7 , 15 ,010301,16/02/2015,17:45:24 ,17:45:39 , 15 ,0.14,1.06,
 8 , 18 ,010301,16/02/2015,18:32:16 ,18:32:27 , 11 ,0.16,1.22,
 9 , 18 ,010301,16/02/2015,18:32:39 ,18:33:26 , 47 ,0.41,1.63,
 10 , 18 ,010301,16/02/2015,18:36:56 ,18:37:22 , 26 ,0.28,1.91,
 11 , 18 ,010301,16/02/2015,18:37:56 ,18:38:11 , 15 ,0.17,2.08,
 12 , 21 ,010301,16/02/2015,19:14:16 ,19:14:18 , 2 ,0.03,2.11,
 13 , 21 ,010301,16/02/2015,19:14:40 ,19:15:19 , 39 ,0.33,2.44,
 14 , 21 ,010301,16/02/2015,19:15:36 ,19:16:12 , 36 ,0.34,2.78,
 15 , 21 ,010301,16/02/2015,19:17:38 ,19:18:27 , 49 ,0.50,3.28,
 16 , 22 ,010301,16/02/2015,19:24:59 ,19:26:27 , 88 ,0.69,3.97,
 17 , 22 ,010301,16/02/2015,19:32:14 ,19:32:27 , 13 ,0.11,4.08,
 18 , 22 ,010301,16/02/2015,19:37:38 ,19:38:34 , 56 ,0.48,4.56,
 19 , 23 ,010301,16/02/2015,19:42:42 ,19:42:53 , 11 ,0.14,4.70,
 20 , 23 ,010301,16/02/2015,19:43:38 ,19:43:42 , 4 ,0.06,4.76,
 21 , 23 ,010301,16/02/2015,19:45:36 ,19:46:34 , 58 ,0.45,5.21,
 22 , 23 ,010301,16/02/2015,19:48:08 ,19:48:32 , 24 ,0.19,5.40,
 23 , 27 ,010301,16/02/2015,20:48:12 ,20:49:16 , 64 ,0.50,5.90,
 24 , 27 ,010301,16/02/2015,20:49:27 ,20:50:05 , 38 ,0.30,6.20,
 25 , 28 ,010301,16/02/2015,20:51:41 ,20:51:46 , 5 ,0.07,6.27,
 26 , 28 ,010301,16/02/2015,20:52:29 ,20:52:33 , 4 ,0.05,6.32,
 27 , 28 ,010301,16/02/2015,20:57:20 ,20:59:15 , 115 ,0.83,7.15,
 28 , 31 ,010301,16/02/2015,21:39:06 ,21:39:12 , 6 ,0.02,7.17,
 29 , 31 ,010301,16/02/2015,21:40:08 ,21:41:12 , 64 ,0.50,7.67,
 30 , 33 ,010301,16/02/2015,22:07:15 ,22:08:52 , 97 ,0.71,8.38,
 31 , 35 ,010301,16/02/2015,22:33:51 ,22:33:58 , 7 ,0.10,8.48,
 32 , 35 ,010301,16/02/2015,22:34:26 ,22:34:43 , 17 ,0.16,8.64,
 33 , 35 ,010301,16/02/2015,22:36:08 ,22:36:56 , 48 ,0.46,9.10,
 34 , 36 ,010301,16/02/2015,22:50:11 ,22:50:56 , 45 ,0.43,9.53,
 35 , 36 ,010301,16/02/2015,22:51:09 ,22:52:56 , 107 ,0.75,10.28,
 36 , 37 ,010301,16/02/2015,22:58:26 ,23:00:15 , 109 ,0.79,11.07,
 37 , 38 ,010301,16/02/2015,23:16:59 ,23:17:02 , 3 ,-0.03,11.04,
 38 , 38 ,010301,16/02/2015,23:18:36 ,23:18:44 , 8 ,0.03,11.07,
 39 , 38 ,010301,16/02/2015,23:21:36 ,23:22:55 , 79 ,0.61,11.68,
 40 , 40 ,010301,16/02/2015,23:39:36 ,23:41:55 , 139 ,1.29,12.97,
 41 , 40 ,010301,16/02/2015,23:49:59 ,23:50:17 , 18 ,0.07,13.04,
 42 , 42 ,010301,17/02/2015,00:08:40 ,00:11:17 , 157 ,1.37,14.41,
 43 , 42 ,010301,17/02/2015,00:14:17 ,00:14:23 , 6 ,0.05,14.46,
 44 , 43 ,010301,17/02/2015,00:33:06 ,00:33:12 , 6 ,0.07,14.53,
 45 , 43 ,010301,17/02/2015,00:33:25 ,00:33:27 , 2 ,0.02,14.55,
 46 , 43 ,010301,17/02/2015,00:35:53 ,00:35:55 , 2 ,0.03,14.58,
 47 , 43 ,010301,17/02/2015,00:36:31 ,00:37:48 , 77 ,0.61,15.19,
 48 , 45 ,010301,17/02/2015,00:59:09 ,00:59:37 , 28 ,0.17,15.36,
 49 , 48 ,010301,17/02/2015,01:35:45 ,01:36:58 , 73 ,0.49,15.85,
 50 , 49 ,010301,17/02/2015,01:55:38 ,01:57:57 , 139 ,1.24,17.09,
 51 , 49 ,010301,17/02/2015,01:58:14 ,01:58:18 , 4 ,0.03,17.12,
 52 , 51 ,010301,17/02/2015,02:20:14 ,02:20:21 , 7 ,0.11,17.23,
 53 , 54 ,010301,17/02/2015,03:09:09 ,03:09:26 , 17 ,0.03,17.26,
 54 , 55 ,010301,17/02/2015,03:13:53 ,03:15:49 , 116 ,0.88,18.14,
 55 , 55 ,010301,17/02/2015,03:21:26 ,03:21:28 , 2 ,0.08,18.22,
 56 , 55 ,010301,17/02/2015,03:28:33 ,03:29:24 , 51 ,0.34,18.56,
 57 , 56 ,010301,17/02/2015,03:40:25 ,03:40:57 , 32 ,0.19,18.75,
 58 , 57 ,010301,17/02/2015,03:41:09 ,03:43:27 , 138 ,1.22,19.97,
 59 , 57 ,010301,17/02/2015,03:46:03 ,03:46:09 , 6 ,0.06,20.03,
 60 , 57 ,010301,17/02/2015,03:46:27 ,03:47:03 , 36 ,0.19,20.22,
 61 , 59 ,010301,17/02/2015,04:15:54 ,04:17:14 , 80 ,0.61,20.83,
 62 , 59 ,010301,17/02/2015,04:22:18 ,04:22:20 , 2 ,0.12,20.95,
 63 , 59 ,010301,17/02/2015,04:23:03 ,04:23:05 , 2 ,0.05,21.00,
 64 , 61 ,010301,17/02/2015,04:53:43 ,04:53:50 , 7 ,0.06,21.06,
 65 , 63 ,010301,17/02/2015,05:14:41 ,05:18:58 , 257 ,1.51,22.57,
 66 , 63 ,010301,17/02/2015,05:20:32 ,05:20:34 , 2 ,-0.02,22.55,
 67 , 63 ,010301,17/02/2015,05:21:36 ,05:21:38 , 2 ,0.02,22.57,
 68 , 64 ,010301,17/02/2015,05:26:15 ,05:26:17 , 2 ,-0.05,22.52,
 69 , 64 ,010301,17/02/2015,05:27:26 ,05:27:28 , 2 ,0.08,22.60,
