OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:13/03/2015 13:08:27
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\9-03-15\2015-03-09.BDTA

GROUP/CAGE:0103
SUBJECT ID:Subject 3
SUBJECT MASS:466 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010301,09/03/2015,14:29:03 ,14:29:31 , 28 ,0.32,0.32,
 2 , 1 ,010301,09/03/2015,14:35:55 ,14:36:33 , 38 ,0.45,0.77,
 3 , 2 ,010301,09/03/2015,14:53:18 ,14:53:35 , 17 ,0.18,0.95,
 4 , 5 ,010301,09/03/2015,15:33:41 ,15:34:20 , 39 ,0.44,1.39,
 5 , 5 ,010301,09/03/2015,15:34:32 ,15:34:41 , 9 ,0.11,1.50,
 6 , 11 ,010301,09/03/2015,16:52:45 ,16:53:38 , 53 ,0.58,2.08,
 7 , 14 ,010301,09/03/2015,17:44:02 ,17:44:58 , 56 ,0.61,2.69,
 8 , 18 ,010301,09/03/2015,18:34:11 ,18:35:19 , 68 ,0.62,3.31,
 9 , 18 ,010301,09/03/2015,18:35:31 ,18:35:59 , 28 ,0.33,3.64,
 10 , 18 ,010301,09/03/2015,18:36:20 ,18:36:51 , 31 ,0.36,4.00,
 11 , 18 ,010301,09/03/2015,18:42:46 ,18:43:24 , 38 ,0.35,4.35,
 12 , 19 ,010301,09/03/2015,18:50:31 ,18:51:56 , 85 ,0.84,5.19,
 13 , 19 ,010301,09/03/2015,18:53:01 ,18:54:02 , 61 ,0.50,5.69,
 14 , 19 ,010301,09/03/2015,18:54:53 ,18:55:12 , 19 ,0.12,5.81,
 15 , 20 ,010301,09/03/2015,19:08:02 ,19:09:54 , 112 ,0.73,6.54,
 16 , 20 ,010301,09/03/2015,19:12:46 ,19:12:50 , 4 ,-0.05,6.49,
 17 , 21 ,010301,09/03/2015,19:14:35 ,19:16:38 , 123 ,0.73,7.22,
 18 , 21 ,010301,09/03/2015,19:19:08 ,19:20:41 , 93 ,0.53,7.75,
 19 , 26 ,010301,09/03/2015,20:38:56 ,20:39:02 , 6 ,0.02,7.77,
 20 , 27 ,010301,09/03/2015,20:40:47 ,20:42:36 , 109 ,0.68,8.45,
 21 , 28 ,010301,09/03/2015,20:57:59 ,20:58:33 , 34 ,0.08,8.53,
 22 , 28 ,010301,09/03/2015,21:00:07 ,21:03:34 , 207 ,1.23,9.76,
 23 , 29 ,010301,09/03/2015,21:11:11 ,21:12:47 , 96 ,0.69,10.45,
 24 , 30 ,010301,09/03/2015,21:25:35 ,21:27:19 , 104 ,0.65,11.10,
 25 , 31 ,010301,09/03/2015,21:43:56 ,21:46:42 , 166 ,0.87,11.97,
 26 , 34 ,010301,09/03/2015,22:25:21 ,22:25:22 , 1 ,-0.02,11.95,
 27 , 34 ,010301,09/03/2015,22:25:40 ,22:27:14 , 94 ,0.41,12.36,
 28 , 34 ,010301,09/03/2015,22:30:21 ,22:30:42 , 21 ,0.20,12.56,
 29 , 35 ,010301,09/03/2015,22:46:06 ,22:47:19 , 73 ,0.52,13.08,
 30 , 36 ,010301,09/03/2015,22:47:36 ,22:48:16 , 40 ,0.29,13.37,
 31 , 36 ,010301,09/03/2015,22:50:21 ,22:50:22 , 1 ,-0.05,13.32,
 32 , 36 ,010301,09/03/2015,22:50:42 ,22:50:43 , 1 ,0.05,13.37,
 33 , 39 ,010301,09/03/2015,23:30:52 ,23:30:59 , 7 ,0.05,13.42,
 34 , 39 ,010301,09/03/2015,23:31:11 ,23:32:42 , 91 ,0.69,14.11,
 35 , 40 ,010301,09/03/2015,23:49:15 ,23:50:57 , 102 ,0.78,14.89,
 36 , 40 ,010301,09/03/2015,23:52:57 ,23:53:15 , 18 ,0.03,14.92,
 37 , 40 ,010301,09/03/2015,23:54:17 ,23:54:32 , 15 ,0.05,14.97,
 38 , 42 ,010301,10/03/2015,00:19:49 ,00:21:40 , 111 ,0.89,15.86,
 39 , 42 ,010301,10/03/2015,00:24:46 ,00:25:41 , 55 ,0.42,16.28,
 40 , 43 ,010301,10/03/2015,00:26:14 ,00:27:44 , 90 ,0.36,16.64,
 41 , 44 ,010301,10/03/2015,00:48:28 ,00:48:33 , 5 ,0.03,16.67,
 42 , 46 ,010301,10/03/2015,01:21:04 ,01:21:13 , 9 ,0.10,16.77,
 43 , 46 ,010301,10/03/2015,01:21:27 ,01:23:26 , 119 ,0.98,17.75,
 44 , 48 ,010301,10/03/2015,01:47:03 ,01:47:58 , 55 ,0.15,17.90,
 45 , 48 ,010301,10/03/2015,01:48:09 ,01:49:12 , 63 ,0.67,18.57,
 46 , 48 ,010301,10/03/2015,01:51:14 ,01:52:02 , 48 ,0.34,18.91,
 47 , 49 ,010301,10/03/2015,01:52:18 ,01:54:01 , 103 ,0.74,19.65,
 48 , 51 ,010301,10/03/2015,02:29:07 ,02:30:42 , 95 ,0.75,20.40,
 49 , 51 ,010301,10/03/2015,02:31:46 ,02:32:46 , 60 ,0.48,20.88,
 50 , 51 ,010301,10/03/2015,02:35:05 ,02:35:39 , 34 ,0.18,21.06,
 51 , 56 ,010301,10/03/2015,03:35:40 ,03:35:47 , 7 ,0.07,21.13,
 52 , 56 ,010301,10/03/2015,03:36:06 ,03:36:59 , 53 ,0.31,21.44,
 53 , 56 ,010301,10/03/2015,03:37:22 ,03:37:30 , 8 ,0.06,21.50,
 54 , 61 ,010301,10/03/2015,04:45:51 ,04:46:34 , 43 ,0.26,21.76,
 55 , 61 ,010301,10/03/2015,04:47:30 ,04:48:27 , 57 ,0.45,22.21,
 56 , 63 ,010301,10/03/2015,05:18:36 ,05:21:14 , 158 ,1.11,23.32,
 57 , 63 ,010301,10/03/2015,05:23:38 ,05:25:49 , 131 ,1.08,24.40,
 58 , 67 ,010301,10/03/2015,06:12:38 ,06:14:05 , 87 ,0.48,24.88,
 59 , 67 ,010301,10/03/2015,06:14:22 ,06:17:03 , 161 ,1.12,26.00,
 60 , 68 ,010301,10/03/2015,06:32:25 ,06:32:38 , 13 ,0.11,26.11,
 61 , 85 ,010301,10/03/2015,10:37:56 ,10:38:20 , 24 ,0.22,26.33,
 62 , 85 ,010301,10/03/2015,10:39:27 ,10:39:38 , 11 ,0.14,26.47,
 63 , 86 ,010301,10/03/2015,10:48:47 ,10:48:55 , 8 ,0.07,26.54,
 64 , 87 ,010301,10/03/2015,10:54:17 ,10:55:43 , 86 ,0.62,27.16,
 65 , 95 ,010301,10/03/2015,12:48:34 ,12:48:55 , 21 ,0.25,27.41,
 66 , 100 ,010301,10/03/2015,14:04:07 ,14:04:39 , 32 ,0.32,27.73,
 67 , 100 ,010301,10/03/2015,14:04:55 ,14:05:06 , 11 ,0.14,27.87,
 68 , 103 ,010301,10/03/2015,14:44:46 ,14:45:34 , 48 ,0.37,28.24,
 69 , 105 ,010301,10/03/2015,15:18:32 ,15:19:35 , 63 ,0.54,28.78,
 70 , 109 ,010301,10/03/2015,16:20:33 ,16:22:01 , 88 ,0.65,29.43,
 71 , 115 ,010301,10/03/2015,17:35:24 ,17:35:35 , 11 ,0.04,29.47,
 72 , 115 ,010301,10/03/2015,17:35:46 ,17:35:53 , 7 ,-0.06,29.41,
 73 , 119 ,010301,10/03/2015,18:44:39 ,18:44:54 , 15 ,0.06,29.47,
 74 , 120 ,010301,10/03/2015,18:45:06 ,18:45:29 , 23 ,-0.05,29.42,
 75 , 120 ,010301,10/03/2015,18:46:23 ,18:46:51 , 28 ,0.26,29.68,
 76 , 120 ,010301,10/03/2015,18:47:37 ,18:47:49 , 12 ,0.03,29.71,
 77 , 120 ,010301,10/03/2015,18:48:41 ,18:48:55 , 14 ,0.13,29.84,
 78 , 120 ,010301,10/03/2015,18:49:13 ,18:50:05 , 52 ,0.43,30.27,
 79 , 120 ,010301,10/03/2015,18:52:52 ,18:54:35 , 103 ,0.76,31.03,
 80 , 121 ,010301,10/03/2015,19:01:57 ,19:02:34 , 37 ,0.32,31.35,
 81 , 121 ,010301,10/03/2015,19:06:57 ,19:07:32 , 35 ,0.22,31.57,
 82 , 122 ,010301,10/03/2015,19:21:55 ,19:24:28 , 153 ,1.01,32.58,
 83 , 123 ,010301,10/03/2015,19:40:15 ,19:41:53 , 98 ,0.53,33.11,
 84 , 124 ,010301,10/03/2015,19:46:21 ,19:48:55 , 154 ,0.91,34.02,
 85 , 128 ,010301,10/03/2015,20:44:16 ,20:47:32 , 196 ,1.00,35.02,
 86 , 128 ,010301,10/03/2015,20:49:01 ,20:49:46 , 45 ,0.23,35.25,
 87 , 128 ,010301,10/03/2015,20:50:03 ,20:51:17 , 74 ,0.36,35.61,
 88 , 129 ,010301,10/03/2015,20:51:41 ,20:52:54 , 73 ,0.31,35.92,
 89 , 130 ,010301,10/03/2015,21:09:58 ,21:11:33 , 95 ,0.56,36.48,
 90 , 130 ,010301,10/03/2015,21:11:44 ,21:13:29 , 105 ,0.46,36.94,
 91 , 130 ,010301,10/03/2015,21:14:03 ,21:14:42 , 39 ,0.22,37.16,
 92 , 131 ,010301,10/03/2015,21:29:06 ,21:29:25 , 19 ,0.07,37.23,
 93 , 134 ,010301,10/03/2015,22:05:44 ,22:06:12 , 28 ,0.12,37.35,
 94 , 134 ,010301,10/03/2015,22:06:29 ,22:06:58 , 29 ,0.18,37.53,
 95 , 134 ,010301,10/03/2015,22:07:12 ,22:07:26 , 14 ,0.06,37.59,
 96 , 136 ,010301,10/03/2015,22:31:39 ,22:35:43 , 244 ,1.21,38.80,
 97 , 137 ,010301,10/03/2015,22:52:16 ,22:54:08 , 112 ,0.54,39.34,
 98 , 137 ,010301,10/03/2015,22:54:22 ,22:55:10 , 48 ,0.29,39.63,
 99 , 139 ,010301,10/03/2015,23:25:35 ,23:26:26 , 51 ,0.18,39.81,
 100 , 139 ,010301,10/03/2015,23:26:39 ,23:26:40 , 1 ,-0.02,39.79,
 101 , 140 ,010301,10/03/2015,23:42:24 ,23:42:39 , 15 ,0.04,39.83,
 102 , 141 ,010301,10/03/2015,23:43:02 ,23:44:03 , 61 ,0.32,40.15,
 103 , 142 ,010301,11/03/2015,00:03:09 ,00:05:10 , 121 ,0.79,40.94,
 104 , 142 ,010301,11/03/2015,00:06:57 ,00:08:37 , 100 ,0.60,41.54,
 105 , 142 ,010301,11/03/2015,00:10:55 ,00:12:08 , 73 ,0.18,41.72,
 106 , 143 ,010301,11/03/2015,00:13:11 ,00:15:54 , 163 ,1.03,42.75,
 107 , 145 ,010301,11/03/2015,00:41:08 ,00:42:47 , 99 ,0.45,43.20,
 108 , 145 ,010301,11/03/2015,00:44:12 ,00:44:38 , 26 ,0.07,43.27,
 109 , 148 ,010301,11/03/2015,01:24:06 ,01:28:36 , 270 ,1.50,44.77,
 110 , 148 ,010301,11/03/2015,01:29:51 ,01:31:43 , 112 ,0.78,45.55,
 111 , 151 ,010301,11/03/2015,02:19:25 ,02:20:46 , 81 ,0.25,45.80,
 112 , 154 ,010301,11/03/2015,02:46:37 ,02:53:05 , 388 ,2.09,47.89,
 113 , 154 ,010301,11/03/2015,02:53:29 ,02:54:04 , 35 ,0.30,48.19,
 114 , 157 ,010301,11/03/2015,03:40:02 ,03:42:09 , 127 ,0.61,48.80,
 115 , 159 ,010301,11/03/2015,04:06:51 ,04:08:11 , 80 ,0.28,49.08,
 116 , 161 ,010301,11/03/2015,04:31:28 ,04:32:29 , 61 ,0.21,49.29,
 117 , 162 ,010301,11/03/2015,04:53:46 ,04:55:42 , 116 ,0.20,49.49,
 118 , 164 ,010301,11/03/2015,05:10:56 ,05:13:23 , 147 ,0.75,50.24,
 119 , 164 ,010301,11/03/2015,05:15:05 ,05:15:57 , 52 ,0.24,50.48,
 120 , 164 ,010301,11/03/2015,05:22:43 ,05:22:52 , 9 ,0.04,50.52,
 121 , 164 ,010301,11/03/2015,05:23:12 ,05:25:19 , 127 ,0.55,51.07,
 122 , 165 ,010301,11/03/2015,05:37:37 ,05:38:52 , 75 ,0.32,51.39,
 123 , 165 ,010301,11/03/2015,05:39:11 ,05:39:44 , 33 ,0.13,51.52,
