OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:13/03/2015 13:11:47
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\9-03-15\2015-03-09.BDTA

GROUP/CAGE:0115
SUBJECT ID:animal 12
SUBJECT MASS:486 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011501,09/03/2015,14:29:49 ,14:30:20 , 31 ,0.30,0.30,
 2 , 2 ,011501,09/03/2015,14:42:39 ,14:43:46 , 67 ,0.66,0.96,
 3 , 2 ,011501,09/03/2015,14:45:18 ,14:46:17 , 59 ,0.50,1.46,
 4 , 11 ,011501,09/03/2015,16:59:39 ,17:00:52 , 73 ,0.55,2.01,
 5 , 11 ,011501,09/03/2015,17:01:30 ,17:02:04 , 34 ,0.31,2.32,
 6 , 20 ,011501,09/03/2015,19:01:11 ,19:01:50 , 39 ,0.26,2.58,
 7 , 20 ,011501,09/03/2015,19:06:09 ,19:07:12 , 63 ,0.53,3.11,
 8 , 20 ,011501,09/03/2015,19:07:27 ,19:09:04 , 97 ,0.87,3.98,
 9 , 20 ,011501,09/03/2015,19:09:37 ,19:11:18 , 101 ,0.84,4.82,
 10 , 20 ,011501,09/03/2015,19:11:34 ,19:12:48 , 74 ,0.65,5.47,
 11 , 21 ,011501,09/03/2015,19:14:48 ,19:15:55 , 67 ,0.62,6.09,
 12 , 21 ,011501,09/03/2015,19:16:30 ,19:16:32 , 2 ,-0.06,6.03,
 13 , 21 ,011501,09/03/2015,19:17:28 ,19:18:15 , 47 ,0.10,6.13,
 14 , 21 ,011501,09/03/2015,19:19:27 ,19:19:28 , 1 ,-0.02,6.11,
 15 , 21 ,011501,09/03/2015,19:20:06 ,19:20:07 , 1 ,-0.03,6.08,
 16 , 21 ,011501,09/03/2015,19:21:20 ,19:21:24 , 4 ,0.06,6.14,
 17 , 21 ,011501,09/03/2015,19:23:41 ,19:24:05 , 24 ,-0.04,6.10,
 18 , 21 ,011501,09/03/2015,19:24:29 ,19:24:37 , 8 ,-0.02,6.08,
 19 , 21 ,011501,09/03/2015,19:26:25 ,19:26:26 , 1 ,-0.04,6.04,
 20 , 21 ,011501,09/03/2015,19:27:07 ,19:27:08 , 1 ,-0.02,6.02,
 21 , 22 ,011501,09/03/2015,19:30:02 ,19:30:03 , 1 ,-0.03,5.99,
 22 , 22 ,011501,09/03/2015,19:31:51 ,19:32:11 , 20 ,-0.04,5.95,
 23 , 22 ,011501,09/03/2015,19:32:37 ,19:32:42 , 5 ,-0.03,5.92,
 24 , 22 ,011501,09/03/2015,19:33:12 ,19:33:19 , 7 ,0.05,5.97,
 25 , 22 ,011501,09/03/2015,19:34:08 ,19:34:13 , 5 ,0.04,6.01,
 26 , 22 ,011501,09/03/2015,19:34:33 ,19:34:42 , 9 ,-0.02,5.99,
 27 , 22 ,011501,09/03/2015,19:35:55 ,19:36:04 , 9 ,-0.04,5.95,
 28 , 22 ,011501,09/03/2015,19:39:39 ,19:39:50 , 11 ,0.03,5.98,
 29 , 22 ,011501,09/03/2015,19:40:01 ,19:40:16 , 15 ,-0.04,5.94,
 30 , 22 ,011501,09/03/2015,19:40:35 ,19:40:36 , 1 ,-0.10,5.84,
 31 , 23 ,011501,09/03/2015,19:42:27 ,19:42:28 , 1 ,0.03,5.87,
 32 , 23 ,011501,09/03/2015,19:43:55 ,19:43:56 , 1 ,0.03,5.90,
 33 , 23 ,011501,09/03/2015,19:45:17 ,19:46:01 , 44 ,-0.04,5.86,
 34 , 23 ,011501,09/03/2015,19:46:23 ,19:46:26 , 3 ,0.13,5.99,
 35 , 23 ,011501,09/03/2015,19:47:13 ,19:47:15 , 2 ,-0.12,5.87,
 36 , 23 ,011501,09/03/2015,19:48:43 ,19:48:47 , 4 ,0.06,5.93,
 37 , 23 ,011501,09/03/2015,19:49:29 ,19:49:59 , 30 ,0.02,5.95,
 38 , 23 ,011501,09/03/2015,19:52:00 ,19:52:02 , 2 ,0.04,5.99,
 39 , 23 ,011501,09/03/2015,19:53:37 ,19:53:42 , 5 ,0.05,6.04,
 40 , 23 ,011501,09/03/2015,19:54:51 ,19:55:13 , 22 ,0.09,6.13,
 41 , 24 ,011501,09/03/2015,19:58:39 ,19:58:50 , 11 ,0.06,6.19,
 42 , 24 ,011501,09/03/2015,20:01:54 ,20:02:30 , 36 ,0.16,6.35,
 43 , 24 ,011501,09/03/2015,20:04:37 ,20:08:05 , 208 ,0.66,7.01,
 44 , 24 ,011501,09/03/2015,20:08:41 ,20:08:42 , 1 ,0.03,7.04,
 45 , 24 ,011501,09/03/2015,20:09:20 ,20:09:40 , 20 ,0.04,7.08,
 46 , 24 ,011501,09/03/2015,20:10:13 ,20:10:15 , 2 ,0.02,7.10,
 47 , 25 ,011501,09/03/2015,20:10:47 ,20:10:48 , 1 ,-0.04,7.06,
 48 , 25 ,011501,09/03/2015,20:11:57 ,20:12:07 , 10 ,0.06,7.12,
 49 , 25 ,011501,09/03/2015,20:15:52 ,20:16:00 , 8 ,0.04,7.16,
 50 , 25 ,011501,09/03/2015,20:17:17 ,20:17:23 , 6 ,-0.07,7.09,
 51 , 25 ,011501,09/03/2015,20:17:41 ,20:17:45 , 4 ,0.10,7.19,
 52 , 25 ,011501,09/03/2015,20:18:19 ,20:18:30 , 11 ,0.04,7.23,
 53 , 25 ,011501,09/03/2015,20:19:26 ,20:19:28 , 2 ,-0.03,7.20,
 54 , 25 ,011501,09/03/2015,20:21:13 ,20:21:22 , 9 ,-0.03,7.17,
 55 , 25 ,011501,09/03/2015,20:21:45 ,20:21:50 , 5 ,0.07,7.24,
 56 , 26 ,011501,09/03/2015,20:27:07 ,20:27:08 , 1 ,-0.03,7.21,
 57 , 26 ,011501,09/03/2015,20:31:46 ,20:31:48 , 2 ,0.04,7.25,
 58 , 26 ,011501,09/03/2015,20:32:30 ,20:32:41 , 11 ,-0.08,7.17,
 59 , 26 ,011501,09/03/2015,20:33:12 ,20:33:13 , 1 ,-0.02,7.15,
 60 , 26 ,011501,09/03/2015,20:36:11 ,20:36:15 , 4 ,0.03,7.18,
 61 , 26 ,011501,09/03/2015,20:37:21 ,20:37:31 , 10 ,0.03,7.21,
 62 , 26 ,011501,09/03/2015,20:37:53 ,20:37:55 , 2 ,-0.02,7.19,
 63 , 27 ,011501,09/03/2015,20:40:15 ,20:40:48 , 33 ,-0.07,7.12,
 64 , 27 ,011501,09/03/2015,20:41:12 ,20:41:13 , 1 ,0.02,7.14,
 65 , 27 ,011501,09/03/2015,20:42:13 ,20:42:15 , 2 ,0.02,7.16,
 66 , 27 ,011501,09/03/2015,20:46:09 ,20:46:11 , 2 ,-0.13,7.03,
 67 , 27 ,011501,09/03/2015,20:46:44 ,20:46:59 , 15 ,0.08,7.11,
 68 , 27 ,011501,09/03/2015,20:47:33 ,20:48:05 , 32 ,-0.10,7.01,
 69 , 27 ,011501,09/03/2015,20:49:06 ,20:49:08 , 2 ,-0.02,6.99,
 70 , 27 ,011501,09/03/2015,20:49:58 ,20:50:00 , 2 ,-0.02,6.97,
 71 , 27 ,011501,09/03/2015,20:50:57 ,20:50:58 , 1 ,-0.02,6.95,
 72 , 27 ,011501,09/03/2015,20:51:12 ,20:51:43 , 31 ,0.22,7.17,
 73 , 28 ,011501,09/03/2015,20:54:55 ,20:55:13 , 18 ,0.06,7.23,
 74 , 28 ,011501,09/03/2015,20:55:24 ,20:55:51 , 27 ,-0.20,7.03,
 75 , 28 ,011501,09/03/2015,20:56:23 ,20:56:24 , 1 ,0.08,7.11,
 76 , 28 ,011501,09/03/2015,20:58:32 ,20:58:37 , 5 ,-0.09,7.02,
 77 , 28 ,011501,09/03/2015,21:00:08 ,21:00:10 , 2 ,0.07,7.09,
 78 , 28 ,011501,09/03/2015,21:03:37 ,21:03:38 , 1 ,0.09,7.18,
 79 , 28 ,011501,09/03/2015,21:04:29 ,21:04:30 , 1 ,0.07,7.25,
 80 , 28 ,011501,09/03/2015,21:05:19 ,21:05:37 , 18 ,-0.22,7.03,
 81 , 28 ,011501,09/03/2015,21:05:50 ,21:06:28 , 38 ,0.03,7.06,
 82 , 28 ,011501,09/03/2015,21:06:43 ,21:06:47 , 4 ,0.10,7.16,
 83 , 29 ,011501,09/03/2015,21:07:11 ,21:07:45 , 34 ,-0.10,7.06,
 84 , 29 ,011501,09/03/2015,21:08:36 ,21:08:43 , 7 ,-0.03,7.03,
 85 , 29 ,011501,09/03/2015,21:09:04 ,21:09:07 , 3 ,0.04,7.07,
 86 , 29 ,011501,09/03/2015,21:09:29 ,21:09:31 , 2 ,0.10,7.17,
 87 , 29 ,011501,09/03/2015,21:09:59 ,21:10:00 , 1 ,0.04,7.21,
 88 , 29 ,011501,09/03/2015,21:10:24 ,21:10:27 , 3 ,-0.22,6.99,
 89 , 29 ,011501,09/03/2015,21:10:58 ,21:11:06 , 8 ,0.02,7.01,
 90 , 29 ,011501,09/03/2015,21:12:01 ,21:12:22 , 21 ,0.06,7.07,
 91 , 29 ,011501,09/03/2015,21:12:50 ,21:12:51 , 1 ,-0.03,7.04,
 92 , 29 ,011501,09/03/2015,21:13:13 ,21:13:15 , 2 ,0.03,7.07,
 93 , 29 ,011501,09/03/2015,21:13:41 ,21:13:54 , 13 ,-0.04,7.03,
 94 , 29 ,011501,09/03/2015,21:15:11 ,21:15:21 , 10 ,-0.03,7.00,
 95 , 29 ,011501,09/03/2015,21:15:36 ,21:15:38 , 2 ,0.03,7.03,
 96 , 29 ,011501,09/03/2015,21:16:57 ,21:18:31 , 94 ,0.06,7.09,
 97 , 29 ,011501,09/03/2015,21:18:47 ,21:18:49 , 2 ,-0.06,7.03,
 98 , 29 ,011501,09/03/2015,21:19:00 ,21:19:03 , 3 ,0.09,7.12,
 99 , 29 ,011501,09/03/2015,21:20:10 ,21:20:12 , 2 ,-0.09,7.03,
 100 , 29 ,011501,09/03/2015,21:21:20 ,21:21:22 , 2 ,-0.03,7.00,
 101 , 29 ,011501,09/03/2015,21:21:46 ,21:21:47 , 1 ,-0.08,6.92,
 102 , 30 ,011501,09/03/2015,21:25:02 ,21:25:03 , 1 ,0.04,6.96,
 103 , 30 ,011501,09/03/2015,21:26:05 ,21:26:06 , 1 ,0.09,7.05,
 104 , 30 ,011501,09/03/2015,21:28:15 ,21:28:18 , 3 ,0.03,7.08,
 105 , 30 ,011501,09/03/2015,21:30:08 ,21:30:25 , 17 ,-0.12,6.96,
 106 , 30 ,011501,09/03/2015,21:32:01 ,21:32:15 , 14 ,0.02,6.98,
 107 , 30 ,011501,09/03/2015,21:32:45 ,21:33:00 , 15 ,0.03,7.01,
 108 , 30 ,011501,09/03/2015,21:33:11 ,21:33:49 , 38 ,0.19,7.20,
 109 , 30 ,011501,09/03/2015,21:34:35 ,21:34:49 , 14 ,-0.08,7.12,
 110 , 30 ,011501,09/03/2015,21:35:20 ,21:35:22 , 2 ,-0.11,7.01,
 111 , 31 ,011501,09/03/2015,21:38:39 ,21:38:42 , 3 ,0.04,7.05,
 112 , 31 ,011501,09/03/2015,21:39:17 ,21:39:47 , 30 ,-0.27,6.78,
 113 , 31 ,011501,09/03/2015,21:40:01 ,21:40:24 , 23 ,0.42,7.20,
 114 , 31 ,011501,09/03/2015,21:40:39 ,21:40:57 , 18 ,-0.09,7.11,
 115 , 31 ,011501,09/03/2015,21:42:45 ,21:42:58 , 13 ,0.13,7.24,
 116 , 31 ,011501,09/03/2015,21:43:55 ,21:44:08 , 13 ,0.02,7.26,
 117 , 31 ,011501,09/03/2015,21:44:25 ,21:45:04 , 39 ,-0.28,6.98,
 118 , 31 ,011501,09/03/2015,21:46:14 ,21:46:43 , 29 ,0.17,7.15,
 119 , 31 ,011501,09/03/2015,21:47:01 ,21:47:03 , 2 ,0.02,7.17,
 120 , 31 ,011501,09/03/2015,21:47:26 ,21:47:42 , 16 ,-0.05,7.12,
 121 , 31 ,011501,09/03/2015,21:47:59 ,21:48:01 , 2 ,0.12,7.24,
 122 , 31 ,011501,09/03/2015,21:48:13 ,21:48:22 , 9 ,0.05,7.29,
