OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:27/11/2015 10:08:07
DATA FILENAME:C:\Program Files\Oxymax\Recordings\M.Norton\23-11-15\2015-11-23.BDTA

GROUP/CAGE:0112
SUBJECT ID:11
SUBJECT MASS:275 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011201,23/11/2015,09:58:02 ,09:58:14 , 12 ,0.05,0.05,
 2 , 1 ,011201,23/11/2015,10:00:32 ,10:01:03 , 31 ,0.18,0.23,
 3 , 1 ,011201,23/11/2015,10:01:55 ,10:02:00 , 5 ,0.07,0.30,
 4 , 1 ,011201,23/11/2015,10:06:23 ,10:06:39 , 16 ,0.11,0.41,
 5 , 1 ,011201,23/11/2015,10:07:35 ,10:07:53 , 18 ,0.14,0.55,
 6 , 2 ,011201,23/11/2015,10:17:35 ,10:18:46 , 71 ,0.49,1.04,
 7 , 2 ,011201,23/11/2015,10:19:14 ,10:19:20 , 6 ,0.04,1.08,
 8 , 3 ,011201,23/11/2015,10:33:18 ,10:33:24 , 6 ,0.02,1.10,
 9 , 3 ,011201,23/11/2015,10:39:47 ,10:40:52 , 65 ,0.43,1.53,
 10 , 4 ,011201,23/11/2015,11:01:51 ,11:02:01 , 10 ,0.04,1.57,
 11 , 11 ,011201,23/11/2015,12:48:37 ,12:49:06 , 29 ,0.13,1.70,
 12 , 11 ,011201,23/11/2015,12:52:05 ,12:52:26 , 21 ,0.08,1.78,
 13 , 11 ,011201,23/11/2015,12:53:41 ,12:53:45 , 4 ,0.05,1.83,
 14 , 11 ,011201,23/11/2015,12:57:58 ,12:58:22 , 24 ,0.09,1.92,
 15 , 11 ,011201,23/11/2015,13:01:08 ,13:01:10 , 2 ,0.02,1.94,
 16 , 12 ,011201,23/11/2015,13:01:29 ,13:01:36 , 7 ,0.06,2.00,
 17 , 12 ,011201,23/11/2015,13:01:57 ,13:02:03 , 6 ,0.06,2.06,
 18 , 12 ,011201,23/11/2015,13:05:46 ,13:06:57 , 71 ,0.37,2.43,
 19 , 12 ,011201,23/11/2015,13:07:08 ,13:07:22 , 14 ,0.11,2.54,
 20 , 25 ,011201,23/11/2015,16:45:26 ,16:45:35 , 9 ,0.05,2.59,
 21 , 25 ,011201,23/11/2015,16:45:50 ,16:45:59 , 9 ,0.07,2.66,
 22 , 25 ,011201,23/11/2015,16:46:11 ,16:46:41 , 30 ,0.18,2.84,
 23 , 25 ,011201,23/11/2015,16:50:23 ,16:50:26 , 3 ,0.04,2.88,
 24 , 25 ,011201,23/11/2015,16:50:40 ,16:50:44 , 4 ,-0.06,2.82,
 25 , 85 ,011201,24/11/2015,09:20:04 ,09:21:30 , 86 ,0.46,3.28,
 26 , 85 ,011201,24/11/2015,09:21:56 ,09:25:58 , 242 ,1.38,4.66,
 27 , 85 ,011201,24/11/2015,09:26:28 ,09:27:21 , 53 ,0.33,4.99,
 28 , 86 ,011201,24/11/2015,09:27:32 ,09:31:34 , 242 ,1.52,6.51,
 29 , 86 ,011201,24/11/2015,09:33:57 ,09:34:15 , 18 ,0.07,6.58,
 30 , 86 ,011201,24/11/2015,09:34:44 ,09:36:11 , 87 ,0.42,7.00,
 31 , 86 ,011201,24/11/2015,09:36:36 ,09:37:59 , 83 ,0.44,7.44,
 32 , 86 ,011201,24/11/2015,09:39:10 ,09:39:54 , 44 ,0.19,7.63,
 33 , 86 ,011201,24/11/2015,09:41:14 ,09:41:49 , 35 ,0.20,7.83,
 34 , 86 ,011201,24/11/2015,09:42:08 ,09:44:14 , 126 ,0.58,8.41,
 35 , 86 ,011201,24/11/2015,09:44:25 ,09:45:03 , 38 ,0.17,8.58,
 36 , 86 ,011201,24/11/2015,09:45:58 ,09:46:06 , 8 ,0.02,8.60,
 37 , 87 ,011201,24/11/2015,09:57:07 ,09:57:22 , 15 ,0.05,8.65,
 38 , 99 ,011201,24/11/2015,13:09:00 ,13:11:53 , 173 ,0.78,9.43,
 39 , 99 ,011201,24/11/2015,13:13:08 ,13:13:54 , 46 ,1.70,11.13,
 40 , 99 ,011201,24/11/2015,13:14:07 ,13:14:10 , 3 ,-0.09,11.04,
 41 , 99 ,011201,24/11/2015,13:14:25 ,13:16:04 , 99 ,-1.16,9.88,
 42 , 99 ,011201,24/11/2015,13:17:59 ,13:19:48 , 109 ,0.53,10.41,
 43 , 99 ,011201,24/11/2015,13:21:19 ,13:21:59 , 40 ,0.26,10.67,
 44 , 99 ,011201,24/11/2015,13:22:38 ,13:22:43 , 5 ,0.07,10.74,
 45 , 111 ,011201,24/11/2015,16:33:30 ,16:34:30 , 60 ,0.27,11.01,
 46 , 111 ,011201,24/11/2015,16:34:41 ,16:35:12 , 31 ,0.24,11.25,
 47 , 111 ,011201,24/11/2015,16:37:57 ,16:39:39 , 102 ,0.62,11.87,
 48 , 111 ,011201,24/11/2015,16:40:00 ,16:41:37 , 97 ,0.68,12.55,
 49 , 111 ,011201,24/11/2015,16:41:58 ,16:42:25 , 27 ,0.20,12.75,
 50 , 111 ,011201,24/11/2015,16:42:54 ,16:43:01 , 7 ,0.09,12.84,
 51 , 112 ,011201,24/11/2015,16:43:19 ,16:44:38 , 79 ,0.52,13.36,
 52 , 112 ,011201,24/11/2015,16:44:50 ,16:48:57 , 247 ,1.30,14.66,
 53 , 112 ,011201,24/11/2015,16:49:15 ,16:49:39 , 24 ,0.16,14.82,
 54 , 120 ,011201,24/11/2015,19:03:08 ,19:08:48 , 340 ,1.43,16.25,
 55 , 120 ,011201,24/11/2015,19:09:01 ,19:09:26 , 25 ,0.11,16.36,
 56 , 121 ,011201,24/11/2015,19:09:38 ,19:12:53 , 195 ,0.71,17.07,
 57 , 125 ,011201,24/11/2015,20:15:12 ,20:19:02 , 230 ,0.89,17.96,
 58 , 125 ,011201,24/11/2015,20:19:13 ,20:22:54 , 221 ,0.94,18.90,
 59 , 125 ,011201,24/11/2015,20:24:18 ,20:25:45 , 87 ,0.28,19.18,
 60 , 125 ,011201,24/11/2015,20:26:23 ,20:30:02 , 219 ,1.05,20.23,
 61 , 125 ,011201,24/11/2015,20:30:26 ,20:33:03 , 157 ,0.55,20.78,
 62 , 125 ,011201,24/11/2015,20:33:14 ,20:34:37 , 83 ,0.32,21.10,
 63 , 130 ,011201,24/11/2015,21:37:03 ,21:48:04 , 661 ,2.49,23.59,
 64 , 134 ,011201,24/11/2015,22:51:07 ,22:58:54 , 467 ,1.31,24.90,
 65 , 134 ,011201,24/11/2015,22:59:14 ,23:01:44 , 150 ,0.58,25.48,
 66 , 135 ,011201,24/11/2015,23:05:19 ,23:06:18 , 59 ,0.21,25.69,
 67 , 135 ,011201,24/11/2015,23:06:40 ,23:14:16 , 456 ,1.55,27.24,
 68 , 149 ,011201,25/11/2015,02:50:16 ,03:00:33 , 617 ,2.08,29.32,
 69 , 149 ,011201,25/11/2015,03:00:44 ,03:04:06 , 202 ,0.78,30.10,
 70 , 155 ,011201,25/11/2015,04:47:13 ,04:50:44 , 211 ,0.47,30.57,
 71 , 156 ,011201,25/11/2015,04:51:00 ,05:02:42 , 702 ,2.45,33.02,
 72 , 159 ,011201,25/11/2015,05:37:19 ,05:54:36 , 1037 ,2.95,35.97,
 73 , 172 ,011201,25/11/2015,09:28:53 ,09:29:13 , 20 ,0.09,36.06,
 74 , 175 ,011201,25/11/2015,10:18:17 ,10:18:19 , 2 ,0.02,36.08,
 75 , 176 ,011201,25/11/2015,10:30:49 ,10:31:08 , 19 ,0.14,36.22,
 76 , 176 ,011201,25/11/2015,10:32:48 ,10:33:40 , 52 ,0.31,36.53,
 77 , 176 ,011201,25/11/2015,10:33:55 ,10:34:17 , 22 ,0.17,36.70,
 78 , 176 ,011201,25/11/2015,10:34:34 ,10:38:26 , 232 ,1.37,38.07,
 79 , 184 ,011201,25/11/2015,12:53:34 ,12:54:56 , 82 ,0.33,38.40,
 80 , 185 ,011201,25/11/2015,12:55:55 ,12:56:18 , 23 ,0.10,38.50,
 81 , 189 ,011201,25/11/2015,14:06:29 ,14:08:28 , 119 ,0.60,39.10,
 82 , 191 ,011201,25/11/2015,14:34:14 ,14:37:54 , 220 ,1.10,40.20,
 83 , 191 ,011201,25/11/2015,14:38:19 ,14:39:37 , 78 ,0.43,40.63,
 84 , 199 ,011201,25/11/2015,16:46:57 ,16:50:54 , 237 ,1.27,41.90,
 85 , 199 ,011201,25/11/2015,17:03:07 ,17:04:37 , 90 ,0.36,42.26,
 86 , 203 ,011201,25/11/2015,18:01:44 ,18:01:51 , 7 ,0.02,42.28,
 87 , 204 ,011201,25/11/2015,18:26:12 ,18:28:10 , 118 ,0.55,42.83,
 88 , 205 ,011201,25/11/2015,18:28:27 ,18:29:27 , 60 ,0.33,43.16,
 89 , 206 ,011201,25/11/2015,18:51:55 ,18:56:25 , 270 ,1.03,44.19,
 90 , 206 ,011201,25/11/2015,18:56:43 ,19:02:15 , 332 ,1.16,45.35,
 91 , 207 ,011201,25/11/2015,19:02:30 ,19:04:16 , 106 ,0.50,45.85,
 92 , 211 ,011201,25/11/2015,20:11:49 ,20:18:51 , 422 ,1.81,47.66,
 93 , 211 ,011201,25/11/2015,20:19:14 ,20:19:54 , 40 ,0.19,47.85,
 94 , 211 ,011201,25/11/2015,20:20:12 ,20:26:17 , 365 ,1.00,48.85,
 95 , 216 ,011201,25/11/2015,21:16:13 ,21:37:58 , 1305 ,4.04,52.89,
 96 , 216 ,011201,25/11/2015,21:38:17 ,21:40:32 , 135 ,-0.13,52.76,
 97 , 216 ,011201,25/11/2015,21:41:05 ,21:41:11 , 6 ,0.02,52.78,
 98 , 216 ,011201,25/11/2015,21:41:25 ,21:41:28 , 3 ,0.08,52.86,
 99 , 216 ,011201,25/11/2015,21:42:52 ,21:42:53 , 1 ,0.05,52.91,
 100 , 216 ,011201,25/11/2015,21:43:10 ,21:45:59 , 169 ,0.10,53.01,
 101 , 216 ,011201,25/11/2015,21:46:27 ,21:46:43 , 16 ,-0.15,52.86,
 102 , 217 ,011201,25/11/2015,21:46:55 ,21:48:25 , 90 ,-0.03,52.83,
 103 , 217 ,011201,25/11/2015,21:48:43 ,21:49:00 , 17 ,0.17,53.00,
 104 , 217 ,011201,25/11/2015,21:49:22 ,21:49:24 , 2 ,-0.02,52.98,
 105 , 217 ,011201,25/11/2015,21:49:47 ,21:50:40 , 53 ,0.02,53.00,
 106 , 217 ,011201,25/11/2015,21:50:53 ,21:51:35 , 42 ,-0.04,52.96,
 107 , 217 ,011201,25/11/2015,21:53:17 ,21:54:13 , 56 ,-0.51,52.45,
 108 , 217 ,011201,25/11/2015,21:54:24 ,21:54:26 , 2 ,0.05,52.50,
 109 , 217 ,011201,25/11/2015,21:54:40 ,21:54:52 , 12 ,0.04,52.54,
 110 , 217 ,011201,25/11/2015,21:55:08 ,21:55:30 , 22 ,0.15,52.69,
 111 , 217 ,011201,25/11/2015,21:56:35 ,21:56:40 , 5 ,0.04,52.73,
 112 , 217 ,011201,25/11/2015,21:57:11 ,21:57:19 , 8 ,0.07,52.80,
 113 , 217 ,011201,25/11/2015,21:57:35 ,21:58:45 , 70 ,0.16,52.96,
 114 , 217 ,011201,25/11/2015,21:58:56 ,21:59:09 , 13 ,-0.02,52.94,
 115 , 217 ,011201,25/11/2015,22:00:10 ,22:00:20 , 10 ,-0.11,52.83,
 116 , 217 ,011201,25/11/2015,22:00:31 ,22:01:41 , 70 ,-0.05,52.78,
 117 , 217 ,011201,25/11/2015,22:02:12 ,22:02:43 , 31 ,-0.16,52.62,
 118 , 217 ,011201,25/11/2015,22:02:59 ,22:03:25 , 26 ,0.11,52.73,
 119 , 217 ,011201,25/11/2015,22:03:43 ,22:04:53 , 70 ,-0.80,51.93,
 120 , 218 ,011201,25/11/2015,22:05:18 ,22:05:31 , 13 ,0.11,52.04,
 121 , 218 ,011201,25/11/2015,22:05:56 ,22:06:15 , 19 ,0.32,52.36,
 122 , 218 ,011201,25/11/2015,22:06:52 ,22:06:53 , 1 ,-0.03,52.33,
 123 , 218 ,011201,25/11/2015,22:07:48 ,22:08:30 , 42 ,0.04,52.37,
